,Unnamed: 0,Y,X,time,txt
0,615,48.128103,17.121661,20250930192408,
1,714,48.128052,17.121022,20250930192547,
2,880,48.127957,17.120639,20250930192833,
3,984,48.12801,17.120196,20250930193018,
4,1026,48.127955,17.119963,20250930193100,
5,1106,48.127981,17.119671,20250930193220,
6,1228,48.127679,17.119638,20250930193422,
7,1324,48.127418,17.119366,20250930193600,
8,1409,48.127153,17.119185,20250930193725,
9,1469,48.126988,17.119092,20250930193825,
10,1639,48.126672,17.11909,20250930194115,
11,1682,48.12664,17.118982,20250930194158,
12,1780,48.126716,17.11959,20250930194336,
13,1863,48.126711,17.119907,20250930194459,
14,1926,48.126665,17.120293,20250930194603,
15,1993,48.126678,17.12032,20250930194710,
16,2035,48.126721,17.12052,20250930194752,
17,2075,48.126723,17.120721,20250930194832,
18,2104,48.126669,17.120773,20250930194901,
19,2175,48.1266,17.121062,20250930195012,
20,2293,48.12677,17.121688,20250930195211,
21,2316,48.126658,17.121876,20250930195234,
22,2348,48.126497,17.121968,20250930195306,
23,2415,48.126692,17.122286,20250930195413,
24,2432,48.126778,17.122179,20250930195430,
25,2526,48.126807,17.122955,20250930195604,
26,2598,48.12679,17.12341,20250930195716,
27,2634,48.126831,17.123554,20250930195753,
28,2693,48.126946,17.123687,20250930195852,
29,2716,48.126983,17.123716,20250930195915, trh na Mlynarovicovej
30,2777,48.127259,17.12392,20250930200016,
31,2849,48.126973,17.124276,20250930200128,
32,2901,48.126842,17.124437,20250930200221,
33,2924,48.126914,17.124423,20250930200244,
34,2963,48.12668,17.124274,20250930200323,
35,3228,48.126329,17.124155,20250930200749,
36,3281,48.12628,17.124239,20250930200842,
37,3340,48.126126,17.124288,20250930200941,
38,3374,48.125976,17.12421,20250930201015,
39,3428,48.12601,17.124476,20250930201109,
40,3519,48.125994,17.124741,20250930201240,
41,3580,48.125984,17.125283,20250930201341,
42,3709,48.125008,17.125614,20250930201550,
43,3770,48.124724,17.125786,20250930201651,
44,3813,48.124625,17.125422,20250930201735,
45,3843,48.124528,17.125114,20250930201805,
46,3888,48.124406,17.124749,20250930201850,
47,3975,48.12414,17.124507,20250930202018,
48,4021,48.123906,17.124698,20250930202105,
49,4081,48.1237,17.124582,20250930202205,
50,4309,48.123253,17.123659,20250930202555,
51,4320,48.123253,17.123659,20250930202606,
52,4389,48.123373,17.123547,20250930202716,
53,4413,48.123346,17.123281,20250930202740,
54,4447,48.123279,17.123015,20250930202814,
55,4522,48.123283,17.122741,20250930202929,
56,4711,48.123259,17.122221,20250930203238,
57,4769,48.123168,17.122031,20250930203336,
58,4908,48.123063,17.121649,20250930203556,
59,5031,48.123036,17.120877,20250930203759,
60,5191,48.122543,17.121133,20250930204039,
61,5253,48.122339,17.121372,20250930204142,
62,5301,48.122342,17.121099,20250930204230,
63,5328,48.122371,17.121032,20250930204257,
64,5424,48.12231,17.120771,20250930204433,
65,5488,48.122222,17.120429,20250930204537,
66,5587,48.12204,17.119889,20250930204716,
67,5693,48.121885,17.119629,20250930204903,
68,5762,48.12167,17.119289,20250930205012,
69,5845,48.121654,17.11887,20250930205136,
70,5892,48.121448,17.118415,20250930205223,
71,5936,48.121357,17.118516,20250930205307,
72,6017,48.121431,17.117975,20250930205428,
73,6113,48.121273,17.117607,20250930205604,
74,6203,48.121683,17.117478,20250930205734,
75,6265,48.122142,17.117219,20250930205836,
76,6333,48.122337,17.117275,20250930205944,
77,6377,48.122592,17.117209,20250930210028,
78,6450,48.122813,17.116391,20250930210141,
79,6596,48.123089,17.116597,20250930210407,
