# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:39:18 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	268
312.5	172
315.2	441
317.9	191
320.6	287
323.3	326
325.9	153
328.6	422
331.3	268
333.9	172
336.6	364
339.2	249
341.9	345
344.6	364
347.2	172
349.9	326
352.5	249
355.2	211
357.8	441
360.4	134
363.1	345
365.7	268
368.3	153
371.0	345
373.6	287
376.2	172
378.8	403
381.4	287
384.0	403
386.7	441
389.3	287
391.9	479
394.5	441
397.0	441
399.6	556
402.2	518
404.8	594
407.4	633
410.0	594
412.5	710
415.1	690
417.7	710
420.2	940
422.8	806
425.3	844
427.9	940
430.4	978
433.0	1285
435.5	1247
438.0	1170
440.6	1477
443.1	1420
445.6	1823
448.1	1976
450.6	1823
453.1	2034
455.7	1746
458.1	1784
460.6	2418
463.1	2801
465.6	3204
468.1	3166
470.6	2475
473.0	1899
475.5	1247
478.0	806
480.4	825
482.9	748
485.3	806
487.8	1055
490.2	1439
492.6	3358
495.1	3703
497.5	3435
499.9	3435
502.3	1861
504.7	978
507.1	959
509.5	1017
511.9	1170
514.3	1285
516.7	959
519.1	1055
521.4	786
523.8	748
526.2	825
528.5	594
530.9	901
533.2	748
535.6	748
537.9	978
540.2	1017
542.5	1362
544.9	1938
547.2	2322
549.5	3204
551.8	3934
554.1	5047
556.4	6025
558.7	7234
560.9	10842
563.2	17329
565.5	19324
567.7	20438
570.0	21531
572.2	20054
574.5	18902
576.7	23470
579.0	30570
581.2	35483
583.4	34274
585.6	33027
587.8	35790
590.0	37364
592.2	42545
594.4	48686
596.6	52390
598.8	49934
601.0	43927
603.1	38400
605.3	33909
607.4	28728
609.6	26271
611.7	23220
613.9	20706
616.0	18672
618.1	16849
620.3	14872
622.4	13088
624.5	12262
626.6	11552
628.7	10612
630.8	10324
632.8	9844
634.9	9307
637.0	9230
639.1	8635
641.1	8424
643.2	8040
645.2	7561
647.2	7388
649.3	6889
651.3	6582
653.3	6544
655.3	6448
657.3	6275
659.3	6198
661.3	5814
663.3	5872
665.3	5929
667.3	5929
669.3	6006
671.2	6006
673.2	5469
675.1	5315
677.1	4740
679.0	4317
680.9	3876
682.9	3358
684.8	3128
686.7	2782
688.6	2245
690.5	2302
692.4	2053
694.3	2206
696.2	2130
698.0	1938
699.9	1938
701.8	1880
703.6	1842
705.5	1899
707.3	1631
709.1	1727
711.0	1669
712.8	1516
714.6	1631
716.4	1612
718.2	1381
720.0	1573
721.8	1554
723.6	1477
725.4	1420
727.1	1209
728.9	1439
730.7	1439
732.4	1247
734.2	1266
735.9	1113
737.6	1209
739.4	1209
741.1	1093
742.8	1189
744.5	1093
746.2	978
747.9	1247
749.6	1017
751.3	1017
753.0	1113
754.6	863
756.3	1151
758.0	1132
759.6	921
761.3	1266
762.9	1209
764.5	1362
766.2	1669
767.8	1477
769.4	1496
771.0	1362
772.6	1055
774.2	1113
775.8	844
777.4	901
779.0	844
780.5	786
782.1	863
783.7	786
785.2	786
786.8	940
788.3	652
789.8	786
791.4	978
792.9	767
794.4	959
795.9	863
797.4	806
798.9	997
800.4	940
801.9	1017
803.4	901
804.9	786
806.4	1113
807.8	1055
809.3	1170
810.7	1727
812.2	2552
813.6	5123
815.1	7964
816.5	9173
817.9	9480
819.4	9384
820.8	9403
822.2	8885
823.6	6582
825.0	4106
826.4	2130
827.8	1304
829.1	1247
830.5	1017
831.9	748
833.3	863
834.6	575
836.0	671
837.3	748
838.7	498
840.0	671
841.4	498
842.7	422
844.0	594
845.3	403
846.7	479
848.0	518
849.3	364
850.6	518
851.9	441
853.2	287
854.5	537
855.7	345
857.0	479
858.3	479
859.6	191
860.8	518
862.1	345
863.3	326
864.6	594
865.8	345
867.1	556
868.3	403
869.5	191
870.8	479
872.0	403
873.2	326
874.4	460
875.6	230
876.8	326
878.0	345
879.2	345
880.4	479
