# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:35:01 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	364
312.5	326
315.2	518
317.9	249
320.6	403
323.3	441
325.9	287
328.6	498
331.3	441
333.9	287
336.6	518
339.2	383
341.9	441
344.6	518
347.2	326
349.9	479
352.5	422
355.2	479
357.8	652
360.4	556
363.1	825
365.7	786
368.3	690
371.0	901
373.6	901
376.2	940
378.8	1247
381.4	1113
384.0	1477
386.7	1496
389.3	1707
391.9	2091
394.5	2091
397.0	2437
399.6	2821
402.2	3128
404.8	3358
407.4	3396
410.0	3396
412.5	3703
415.1	3895
417.7	4125
420.2	4433
422.8	4413
425.3	4816
427.9	5085
430.4	5622
433.0	6467
435.5	6582
438.0	6544
440.6	6620
443.1	7388
445.6	8328
448.1	9307
450.6	9192
453.1	8424
455.7	7023
458.1	7925
460.6	12301
463.1	16100
465.6	17636
468.1	17828
470.6	13452
473.0	8079
475.5	5699
478.0	4164
480.4	2859
482.9	2782
485.3	3627
487.8	5181
490.2	11687
492.6	25849
495.1	30839
497.5	32201
499.9	31299
502.3	16216
504.7	5047
507.1	4337
509.5	6025
511.9	6851
514.3	7023
516.7	6812
519.1	4759
521.4	2705
523.8	2513
526.2	2725
528.5	2667
530.9	2859
533.2	2897
535.6	3204
537.9	3857
540.2	4663
542.5	6160
544.9	8117
547.2	10765
549.5	13913
551.8	17329
554.1	21973
556.4	27653
558.7	37287
560.9	60968
563.2	66034
565.5	66034
567.7	66188
570.0	66303
572.2	66188
574.5	66150
576.7	66150
579.0	66188
581.2	66188
583.4	66188
585.6	66150
587.8	65977
590.0	66150
592.2	66188
594.4	66188
596.6	66188
598.8	66150
601.0	66150
603.1	66303
605.3	66188
607.4	65958
609.6	65651
611.7	64729
613.9	60316
616.0	57360
618.1	52831
620.3	42699
622.4	33794
624.5	31338
626.6	28824
628.7	26674
630.8	25792
632.8	24084
634.9	22740
637.0	22433
639.1	21052
641.1	19843
643.2	19094
645.2	18135
647.2	17098
649.3	16369
651.3	15448
653.3	15103
655.3	14604
657.3	14028
659.3	13702
661.3	13145
663.3	13030
665.3	12876
667.3	12646
669.3	12915
671.2	12685
673.2	11917
675.1	11380
677.1	10382
679.0	9460
680.9	8616
682.9	7503
684.8	7042
686.7	6275
688.6	5776
690.5	5315
692.4	5162
694.3	4931
696.2	4778
698.0	4433
699.9	4644
701.8	4279
703.6	4394
705.5	4241
707.3	3934
709.1	3934
711.0	3953
712.8	3665
714.6	3665
716.4	3627
718.2	3473
720.0	3511
721.8	3319
723.6	3319
725.4	3243
727.1	2897
728.9	3089
730.7	3108
732.4	2974
734.2	2936
735.9	2744
737.6	2859
739.4	2801
741.1	2667
742.8	2744
744.5	2648
746.2	2533
747.9	2801
749.6	2590
751.3	2667
753.0	2648
754.6	2360
756.3	2667
758.0	2475
759.6	2552
761.3	3128
762.9	3396
764.5	3934
766.2	4413
767.8	4394
769.4	4241
771.0	3895
772.6	2936
774.2	2705
775.8	2034
777.4	2053
779.0	1861
780.5	1861
782.1	1976
783.7	1861
785.2	1861
786.8	2015
788.3	1823
789.8	1976
791.4	1976
792.9	1823
794.4	2110
795.9	1938
797.4	2091
798.9	2322
800.4	2226
801.9	2475
803.4	2398
804.9	2552
806.4	3166
807.8	3588
809.3	4433
810.7	6409
812.2	11840
813.6	21934
815.1	33698
816.5	42507
817.9	47151
819.4	49684
820.8	49607
822.2	46191
823.6	35752
825.0	19689
826.4	9153
827.8	5373
829.1	3934
830.5	3089
831.9	2513
833.3	2206
834.6	1707
836.0	1707
837.3	1631
838.7	1324
840.0	1381
841.4	1151
842.7	1055
844.0	1132
845.3	901
846.7	959
848.0	1017
849.3	825
850.6	921
851.9	786
853.2	748
854.5	901
855.7	671
857.0	825
858.3	806
859.6	460
860.8	825
862.1	671
863.3	594
864.6	901
865.8	556
867.1	786
868.3	767
869.5	537
870.8	614
872.0	556
873.2	556
874.4	729
875.6	556
876.8	556
878.0	556
879.2	575
880.4	729
