# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 21:01:41 wavelength [nm] [Tab] light intensity Exposure time = 10 ms
wavelength	intensity
309.9	191
312.5	153
315.2	326
317.9	95
320.6	249
323.3	230
325.9	172
328.6	345
331.3	249
333.9	134
336.6	326
339.2	191
341.9	364
344.6	326
347.2	38
349.9	307
352.5	268
355.2	172
357.8	441
360.4	134
363.1	287
365.7	211
368.3	134
371.0	326
373.6	191
376.2	153
378.8	307
381.4	211
384.0	326
386.7	249
389.3	172
391.9	268
394.5	249
397.0	211
399.6	287
402.2	191
404.8	268
407.4	211
410.0	172
412.5	249
415.1	249
417.7	211
420.2	403
422.8	249
425.3	287
427.9	326
430.4	211
433.0	364
435.5	326
438.0	249
440.6	403
443.1	287
445.6	403
448.1	441
450.6	268
453.1	518
455.7	460
458.1	498
460.6	614
463.1	441
465.6	633
468.1	652
470.6	479
473.0	633
475.5	594
478.0	479
480.4	710
482.9	710
485.3	671
487.8	863
490.2	921
492.6	1132
495.1	1362
497.5	1592
499.9	2130
502.3	2302
504.7	2782
507.1	3070
509.5	3012
511.9	3224
514.3	3243
516.7	2897
519.1	2897
521.4	2533
523.8	2206
526.2	2053
528.5	1746
530.9	1727
533.2	1477
535.6	1324
537.9	1304
540.2	1017
542.5	978
544.9	940
547.2	786
549.5	940
551.8	652
554.1	633
556.4	710
558.7	614
560.9	594
563.2	652
565.5	403
567.7	614
570.0	633
572.2	479
574.5	671
576.7	556
579.0	556
581.2	729
583.4	748
585.6	863
587.8	863
590.0	921
592.2	1477
594.4	1592
596.6	2187
598.8	2629
601.0	3396
603.1	4720
605.3	6083
607.4	7810
609.6	10612
611.7	12992
613.9	16331
616.0	19900
618.1	22510
620.3	24890
622.4	24890
624.5	23604
626.6	20207
628.7	15467
630.8	11303
632.8	7733
634.9	5239
637.0	3895
639.1	2629
641.1	1861
643.2	1554
645.2	1093
647.2	882
649.3	786
651.3	498
653.3	556
655.3	479
657.3	364
659.3	633
661.3	287
663.3	403
665.3	479
667.3	287
669.3	786
671.2	364
673.2	211
675.1	441
677.1	287
679.0	383
680.9	460
682.9	249
684.8	441
686.7	364
688.6	268
690.5	422
692.4	249
694.3	364
696.2	403
698.0	172
699.9	345
701.8	287
703.6	287
705.5	326
707.3	172
709.1	287
711.0	364
712.8	287
714.6	479
716.4	383
718.2	287
720.0	422
721.8	307
723.6	364
725.4	326
727.1	134
728.9	326
730.7	326
732.4	326
734.2	383
735.9	191
737.6	345
739.4	326
741.1	249
742.8	364
744.5	249
746.2	211
747.9	422
749.6	211
751.3	307
753.0	345
754.6	95
756.3	403
758.0	287
759.6	153
761.3	364
762.9	249
764.5	249
766.2	364
767.8	249
769.4	364
771.0	287
772.6	249
774.2	403
775.8	230
777.4	364
779.0	326
780.5	249
782.1	326
783.7	268
785.2	268
786.8	403
788.3	191
789.8	326
791.4	364
792.9	191
794.4	422
795.9	249
797.4	249
798.9	403
800.4	345
801.9	364
803.4	307
804.9	191
806.4	422
807.8	345
809.3	287
810.7	441
812.2	249
813.6	383
815.1	364
816.5	249
817.9	498
819.4	326
820.8	249
822.2	518
823.6	268
825.0	403
826.4	364
827.8	249
829.1	460
830.5	364
831.9	345
833.3	460
834.6	191
836.0	383
837.3	441
838.7	326
840.0	479
841.4	307
842.7	326
844.0	383
845.3	191
846.7	287
848.0	326
849.3	191
850.6	326
851.9	211
853.2	172
854.5	383
855.7	230
857.0	345
858.3	364
859.6	19
860.8	422
862.1	191
863.3	172
864.6	422
865.8	153
867.1	364
868.3	326
869.5	134
870.8	403
872.0	211
873.2	153
874.4	326
875.6	191
876.8	287
878.0	287
879.2	268
880.4	326
