# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:27:16 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	172
312.5	134
315.2	326
317.9	95
320.6	307
323.3	249
325.9	172
328.6	268
331.3	211
333.9	134
336.6	326
339.2	211
341.9	383
344.6	307
347.2	172
349.9	326
352.5	172
355.2	172
357.8	364
360.4	95
363.1	364
365.7	230
368.3	172
371.0	326
373.6	211
376.2	172
378.8	403
381.4	268
384.0	403
386.7	460
389.3	326
391.9	479
394.5	556
397.0	479
399.6	556
402.2	556
404.8	671
407.4	671
410.0	518
412.5	671
415.1	690
417.7	652
420.2	863
422.8	710
425.3	882
427.9	863
430.4	882
433.0	1209
435.5	1055
438.0	959
440.6	1113
443.1	1132
445.6	1477
448.1	1516
450.6	1324
453.1	1324
455.7	1017
458.1	1209
460.6	1938
463.1	2437
465.6	2955
468.1	2782
470.6	1938
473.0	1362
475.5	997
478.0	710
480.4	614
482.9	633
485.3	729
487.8	921
490.2	1381
492.6	4010
495.1	6045
497.5	6160
499.9	5239
502.3	2322
504.7	959
507.1	863
509.5	1093
511.9	1554
514.3	1554
516.7	1247
519.1	1017
521.4	652
523.8	633
526.2	652
528.5	594
530.9	729
533.2	671
535.6	633
537.9	921
540.2	863
542.5	1228
544.9	1516
547.2	2034
549.5	2936
551.8	3396
554.1	4125
556.4	5239
558.7	6544
560.9	9307
563.2	18442
565.5	26809
567.7	28805
570.0	27001
572.2	20207
574.5	15314
576.7	17463
579.0	23508
581.2	30685
583.4	33871
585.6	31952
587.8	33027
590.0	34639
592.2	39321
594.4	44234
596.6	44042
598.8	37786
601.0	31108
603.1	26425
605.3	22664
607.4	19670
609.6	18672
611.7	18288
613.9	17751
616.0	16331
618.1	14450
620.3	11322
622.4	9038
624.5	8616
626.6	8079
628.7	7388
630.8	7119
632.8	6774
634.9	6236
637.0	6390
639.1	5699
641.1	5392
643.2	5354
645.2	4970
647.2	4701
649.3	4471
651.3	4164
653.3	4164
655.3	4087
657.3	3799
659.3	3857
661.3	3511
663.3	3627
665.3	3588
667.3	3511
669.3	3665
671.2	3550
673.2	3166
675.1	3243
677.1	2859
679.0	2629
680.9	2437
682.9	2091
684.8	2091
686.7	1784
688.6	1592
690.5	1573
692.4	1477
694.3	1592
696.2	1554
698.0	1324
699.9	1324
701.8	1285
703.6	1285
705.5	1362
707.3	1170
709.1	1247
711.0	1209
712.8	1055
714.6	1247
716.4	1170
718.2	1055
720.0	1209
721.8	1055
723.6	1017
725.4	1113
727.1	844
728.9	997
730.7	1036
732.4	1017
734.2	978
735.9	863
737.6	940
739.4	921
741.1	825
742.8	901
744.5	882
746.2	710
747.9	1055
749.6	806
751.3	844
753.0	901
754.6	594
756.3	863
758.0	844
759.6	748
761.3	1170
762.9	1132
764.5	1247
766.2	1477
767.8	1362
769.4	1324
771.0	1055
772.6	729
774.2	863
775.8	575
777.4	748
779.0	710
780.5	671
782.1	748
783.7	671
785.2	633
786.8	710
788.3	556
789.8	748
791.4	806
792.9	556
794.4	825
795.9	825
797.4	710
798.9	901
800.4	863
801.9	825
803.4	806
804.9	786
806.4	997
807.8	1170
809.3	1535
810.7	2859
812.2	5776
813.6	9307
815.1	13682
816.5	17444
817.9	18307
819.4	17751
820.8	14143
822.2	8942
823.6	4548
825.0	2437
826.4	1439
827.8	959
829.1	959
830.5	710
831.9	633
833.3	729
834.6	403
836.0	556
837.3	575
838.7	479
840.0	556
841.4	345
842.7	364
844.0	498
845.3	249
846.7	364
848.0	441
849.3	287
850.6	441
851.9	268
853.2	249
854.5	460
855.7	249
857.0	326
858.3	441
859.6	95
860.8	498
862.1	326
863.3	211
864.6	518
865.8	230
867.1	403
868.3	403
869.5	172
870.8	403
872.0	211
873.2	211
874.4	403
875.6	268
876.8	287
878.0	345
879.2	249
880.4	403
