# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:26:06 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	287
312.5	172
315.2	403
317.9	191
320.6	364
323.3	326
325.9	249
328.6	441
331.3	307
333.9	268
336.6	479
339.2	307
341.9	441
344.6	441
347.2	249
349.9	403
352.5	345
355.2	287
357.8	441
360.4	153
363.1	403
365.7	268
368.3	191
371.0	403
373.6	287
376.2	268
378.8	479
381.4	287
384.0	364
386.7	287
389.3	249
391.9	364
394.5	364
397.0	287
399.6	479
402.2	479
404.8	633
407.4	863
410.0	1074
412.5	1669
415.1	2552
417.7	3569
420.2	5334
422.8	7445
425.3	10266
427.9	13951
430.4	18634
433.0	24314
435.5	30800
438.0	37172
440.6	42545
443.1	45309
445.6	44656
448.1	39743
450.6	33506
453.1	27807
455.7	23431
458.1	20476
460.6	18154
463.1	15774
465.6	14412
468.1	12915
470.6	11917
473.0	12013
475.5	12224
478.0	13030
480.4	14373
482.9	15563
485.3	17213
487.8	19248
490.2	21128
492.6	23815
495.1	25581
497.5	27385
499.9	29841
502.3	31645
504.7	33334
507.1	35061
509.5	36404
511.9	37249
514.3	39091
516.7	39858
519.1	41394
521.4	42276
523.8	44618
526.2	45539
528.5	46402
530.9	47266
533.2	48533
535.6	48955
537.9	50452
540.2	51315
542.5	53292
544.9	55288
547.2	56209
549.5	57591
551.8	58588
554.1	59893
556.4	60815
558.7	61985
560.9	63194
563.2	64039
565.5	64672
567.7	65766
570.0	66111
572.2	66150
574.5	66342
576.7	66188
579.0	66188
581.2	66188
583.4	66303
585.6	66188
587.8	66111
590.0	66054
592.2	66188
594.4	66188
596.6	66188
598.8	66150
601.0	65747
603.1	65727
605.3	65536
607.4	64422
609.6	63578
611.7	62062
613.9	59433
616.0	57591
618.1	55288
620.3	53292
622.4	50567
624.5	49281
626.6	46844
628.7	44541
630.8	42852
632.8	41087
634.9	39014
637.0	37632
639.1	35521
641.1	33257
643.2	31491
645.2	29726
647.2	28114
649.3	25849
651.3	24084
653.3	22280
655.3	20898
657.3	19632
659.3	18442
661.3	17022
663.3	15793
665.3	14757
667.3	13299
669.3	12377
671.2	11303
673.2	10305
675.1	9883
677.1	8866
679.0	8386
680.9	8079
682.9	7311
684.8	7177
686.7	6582
688.6	6160
690.5	5661
692.4	5334
694.3	5085
696.2	4778
698.0	4087
699.9	4049
701.8	3857
703.6	3588
705.5	3550
707.3	3089
709.1	3128
711.0	2821
712.8	2552
714.6	2552
716.4	2322
718.2	2091
720.0	2130
721.8	1861
723.6	1746
725.4	1784
727.1	1420
728.9	1573
730.7	1535
732.4	1343
734.2	1400
735.9	1189
737.6	1170
739.4	1170
741.1	959
742.8	1093
744.5	825
746.2	767
747.9	978
749.6	786
751.3	748
753.0	729
754.6	614
756.3	748
758.0	671
759.6	518
761.3	748
762.9	556
764.5	575
766.2	748
767.8	479
769.4	575
771.0	498
772.6	403
774.2	594
775.8	518
777.4	556
779.0	498
780.5	422
782.1	575
783.7	441
785.2	422
786.8	518
788.3	364
789.8	441
791.4	556
792.9	364
794.4	518
795.9	441
797.4	383
798.9	575
800.4	441
801.9	479
803.4	403
804.9	326
806.4	479
807.8	422
809.3	441
810.7	594
812.2	326
813.6	498
815.1	479
816.5	326
817.9	498
819.4	345
820.8	326
822.2	633
823.6	364
825.0	441
826.4	479
827.8	345
829.1	518
830.5	441
831.9	422
833.3	518
834.6	326
836.0	518
837.3	594
838.7	383
840.0	594
841.4	364
842.7	345
844.0	556
845.3	268
846.7	403
848.0	518
849.3	345
850.6	479
851.9	326
853.2	326
854.5	479
855.7	326
857.0	460
858.3	364
859.6	134
860.8	575
862.1	345
863.3	307
864.6	556
865.8	287
867.1	479
868.3	422
869.5	211
870.8	403
872.0	287
873.2	326
874.4	403
875.6	287
876.8	287
878.0	345
879.2	326
880.4	479
