# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:47:16 wavelength [nm] [Tab] light intensity Exposure time = 5 ms
wavelength	intensity
309.9	326
312.5	249
315.2	441
317.9	211
320.6	441
323.3	345
325.9	268
328.6	479
331.3	345
333.9	268
336.6	460
339.2	307
341.9	422
344.6	364
347.2	230
349.9	403
352.5	287
355.2	268
357.8	518
360.4	172
363.1	422
365.7	307
368.3	230
371.0	460
373.6	326
376.2	364
378.8	633
381.4	556
384.0	710
386.7	748
389.3	806
391.9	1017
394.5	1113
397.0	1209
399.6	1938
402.2	2206
404.8	2283
407.4	1823
410.0	1612
412.5	1823
415.1	1880
417.7	1976
420.2	2226
422.8	2226
425.3	2398
427.9	2667
430.4	3857
433.0	5066
435.5	4912
438.0	4202
440.6	3473
443.1	3550
445.6	4394
448.1	5143
450.6	5008
453.1	4759
455.7	3857
458.1	3646
460.6	5047
463.1	7733
465.6	9537
468.1	9077
470.6	6908
473.0	4452
475.5	2821
478.0	1669
480.4	1170
482.9	1151
485.3	1209
487.8	1765
490.2	2686
492.6	7234
495.1	15601
497.5	16868
499.9	14105
502.3	5853
504.7	2072
507.1	1477
509.5	1669
511.9	3224
514.3	3377
516.7	2744
519.1	1823
521.4	1017
523.8	959
526.2	978
528.5	882
530.9	1074
533.2	997
535.6	1093
537.9	1285
540.2	1765
542.5	3607
544.9	4433
547.2	4586
549.5	4394
551.8	3934
554.1	5066
556.4	6851
558.7	9345
560.9	12800
563.2	25043
565.5	48552
567.7	54674
570.0	50835
572.2	33391
574.5	19248
576.7	21148
579.0	28881
581.2	44541
583.4	64921
585.6	66150
587.8	66111
590.0	66150
592.2	66303
594.4	66303
596.6	66265
598.8	66380
601.0	66188
603.1	66111
605.3	63386
607.4	56516
609.6	52639
611.7	50989
613.9	49569
616.0	44771
618.1	39321
620.3	30263
622.4	26041
624.5	23930
626.6	22261
628.7	20649
630.8	19382
632.8	18403
634.9	17098
637.0	16542
639.1	15621
641.1	14987
643.2	14565
645.2	13567
647.2	12915
649.3	12147
651.3	11284
653.3	10996
655.3	10669
657.3	10286
659.3	9883
661.3	9153
663.3	9345
665.3	9537
667.3	9691
669.3	10017
671.2	9691
673.2	8731
675.1	8386
677.1	7042
679.0	6236
680.9	5526
682.9	4548
684.8	4317
686.7	3818
688.6	3339
690.5	3204
692.4	2955
694.3	2840
696.2	2859
698.0	2437
699.9	2494
701.8	2475
703.6	2341
705.5	2437
707.3	2245
709.1	2283
711.0	2283
712.8	2091
714.6	2130
716.4	2091
718.2	1880
720.0	2053
721.8	1823
723.6	1938
725.4	1823
727.1	1535
728.9	1707
730.7	1823
732.4	1746
734.2	1688
735.9	1496
737.6	1707
739.4	1592
741.1	1439
742.8	1496
744.5	1458
746.2	1362
747.9	1631
749.6	1362
751.3	1496
753.0	1400
754.6	1247
756.3	1477
758.0	1420
759.6	1362
761.3	1823
762.9	1976
764.5	2110
766.2	2437
767.8	1995
769.4	1823
771.0	1362
772.6	1093
774.2	1151
775.8	1113
777.4	1113
779.0	1074
780.5	1017
782.1	1093
783.7	978
785.2	997
786.8	1132
788.3	940
789.8	1074
791.4	1151
792.9	940
794.4	1151
795.9	1036
797.4	1017
798.9	1170
800.4	1113
801.9	1151
803.4	1055
804.9	1074
806.4	1592
807.8	1842
809.3	2552
810.7	4855
812.2	10612
813.6	20399
815.1	30359
816.5	36366
817.9	35867
819.4	28766
820.8	16753
822.2	9652
823.6	5354
825.0	3339
826.4	2187
827.8	1631
829.1	1554
830.5	1209
831.9	978
833.3	1132
834.6	844
836.0	901
837.3	940
838.7	767
840.0	882
841.4	710
842.7	671
844.0	767
845.3	479
846.7	652
848.0	710
849.3	518
850.6	633
851.9	556
853.2	479
854.5	671
855.7	460
857.0	594
858.3	671
859.6	287
860.8	652
862.1	498
863.3	403
864.6	652
865.8	441
867.1	575
868.3	556
869.5	403
870.8	633
872.0	364
873.2	383
874.4	556
875.6	403
876.8	211
878.0	441
879.2	441
880.4	556
