# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:28:33 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	326
312.5	287
315.2	479
317.9	230
320.6	479
323.3	460
325.9	364
328.6	556
331.3	422
333.9	249
336.6	518
339.2	364
341.9	498
344.6	537
347.2	307
349.9	498
352.5	441
355.2	364
357.8	556
360.4	326
363.1	537
365.7	326
368.3	268
371.0	460
373.6	364
376.2	307
378.8	460
381.4	307
384.0	441
386.7	364
389.3	307
391.9	460
394.5	479
397.0	441
399.6	498
402.2	537
404.8	825
407.4	1017
410.0	1324
412.5	1995
415.1	2859
417.7	4260
420.2	6121
422.8	8539
425.3	11802
427.9	16024
430.4	20802
433.0	26962
435.5	32988
438.0	38553
440.6	42315
443.1	43006
445.6	40664
448.1	34830
450.6	28344
453.1	22913
455.7	18998
458.1	16120
460.6	14009
463.1	11610
465.6	10228
468.1	9038
470.6	8156
473.0	8021
475.5	8060
478.0	8309
480.4	9077
482.9	9806
485.3	10785
487.8	12051
490.2	13798
492.6	15256
495.1	16523
497.5	17904
499.9	19536
502.3	21013
504.7	22625
507.1	23546
509.5	24736
511.9	25830
514.3	27116
516.7	27692
519.1	28881
521.4	30052
523.8	31415
526.2	32278
528.5	33027
530.9	33909
533.2	34888
535.6	35099
537.9	36174
540.2	37172
542.5	38131
544.9	39475
547.2	40357
549.5	41586
551.8	42315
554.1	43236
556.4	44407
558.7	45155
560.9	46230
563.2	47611
565.5	48686
567.7	50682
570.0	52946
572.2	54232
574.5	55307
576.7	56631
579.0	57322
581.2	58243
583.4	58608
585.6	58454
587.8	58281
590.0	57552
592.2	57898
594.4	56976
596.6	56669
598.8	55748
601.0	54175
603.1	52985
605.3	52140
607.4	49396
609.6	47880
611.7	45462
613.9	43217
616.0	40856
618.1	38784
620.3	36826
622.4	35138
624.5	33602
626.6	32585
628.7	30282
630.8	28901
632.8	27826
634.9	26367
637.0	25734
639.1	23969
641.1	22721
643.2	21685
645.2	20246
647.2	18979
649.3	17674
651.3	16830
653.3	15506
655.3	14795
657.3	13894
659.3	13164
661.3	12070
663.3	11687
665.3	11053
667.3	9806
669.3	9499
671.2	8654
673.2	7772
675.1	7695
677.1	6774
679.0	6544
680.9	6294
682.9	5622
684.8	5584
686.7	5085
688.6	4663
690.5	4356
692.4	4164
694.3	3934
696.2	3742
698.0	3204
699.9	3089
701.8	3012
703.6	2782
705.5	2725
707.3	2437
709.1	2322
711.0	2264
712.8	1976
714.6	2015
716.4	1919
718.2	1707
720.0	1746
721.8	1477
723.6	1535
725.4	1400
727.1	1132
728.9	1324
730.7	1247
732.4	1113
734.2	1209
735.9	940
737.6	1036
739.4	1055
741.1	940
742.8	997
744.5	844
746.2	671
747.9	901
749.6	786
751.3	786
753.0	786
754.6	556
756.3	825
758.0	633
759.6	518
761.3	767
762.9	518
764.5	594
766.2	690
767.8	479
769.4	556
771.0	479
772.6	460
774.2	652
775.8	479
777.4	518
779.0	518
780.5	441
782.1	633
783.7	460
785.2	479
786.8	556
788.3	403
789.8	537
791.4	633
792.9	403
794.4	614
795.9	460
797.4	403
798.9	690
800.4	556
801.9	518
803.4	518
804.9	249
806.4	633
807.8	518
809.3	479
810.7	671
812.2	403
813.6	556
815.1	518
816.5	422
817.9	652
819.4	498
820.8	441
822.2	748
823.6	479
825.0	575
826.4	594
827.8	441
829.1	671
830.5	556
831.9	537
833.3	594
834.6	364
836.0	594
837.3	633
838.7	460
840.0	652
841.4	460
842.7	403
844.0	652
845.3	383
846.7	479
848.0	594
849.3	441
850.6	614
851.9	422
853.2	403
854.5	614
855.7	422
857.0	556
858.3	575
859.6	326
860.8	594
862.1	441
863.3	345
864.6	671
865.8	364
867.1	537
868.3	518
869.5	326
870.8	594
872.0	403
873.2	403
874.4	518
875.6	403
876.8	422
878.0	498
879.2	460
880.4	460
