# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:27:40 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	479
312.5	403
315.2	633
317.9	422
320.6	633
323.3	537
325.9	403
328.6	633
331.3	594
333.9	441
336.6	594
339.2	537
341.9	594
344.6	556
347.2	345
349.9	518
352.5	498
355.2	403
357.8	690
360.4	594
363.1	863
365.7	786
368.3	729
371.0	748
373.6	614
376.2	633
378.8	882
381.4	863
384.0	1093
386.7	1170
389.3	1113
391.9	1381
394.5	1554
397.0	1669
399.6	2533
402.2	2590
404.8	2859
407.4	2897
410.0	2437
412.5	2629
415.1	2725
417.7	2801
420.2	3070
422.8	2936
425.3	3319
427.9	3627
430.4	4951
433.0	5354
435.5	5603
438.0	5584
440.6	4951
443.1	5123
445.6	5872
448.1	6332
450.6	6217
453.1	5968
455.7	5143
458.1	5546
460.6	8923
463.1	10286
465.6	11207
468.1	11456
470.6	8693
473.0	5469
475.5	3665
478.0	2590
480.4	1976
482.9	1784
485.3	2149
487.8	3166
490.2	8117
492.6	17367
495.1	18250
497.5	18423
499.9	18211
502.3	9844
504.7	3473
507.1	2840
509.5	3818
511.9	3895
514.3	3895
516.7	3627
519.1	2686
521.4	1554
523.8	1420
526.2	1381
528.5	1285
530.9	1477
533.2	1477
535.6	1631
537.9	2437
540.2	3550
542.5	4125
544.9	4740
547.2	5507
549.5	6160
551.8	6735
554.1	8770
556.4	11802
558.7	16753
560.9	37805
563.2	60968
565.5	62964
567.7	64653
570.0	65843
572.2	55921
574.5	38861
576.7	39014
579.0	55441
581.2	66188
583.4	66457
585.6	66303
587.8	66188
590.0	66188
592.2	66303
594.4	66265
596.6	66303
598.8	66303
601.0	66303
603.1	66303
605.3	64115
607.4	56842
609.6	54213
611.7	48360
613.9	41893
616.0	37018
618.1	33756
620.3	26886
622.4	20975
624.5	18672
626.6	16983
628.7	15007
630.8	14258
632.8	13529
634.9	12454
637.0	11917
639.1	11303
641.1	10612
643.2	9959
645.2	9345
647.2	8770
649.3	8539
651.3	8021
653.3	7772
655.3	7388
657.3	7273
659.3	7100
661.3	6755
663.3	6582
665.3	6544
667.3	6505
669.3	6659
671.2	6390
673.2	6006
675.1	6006
677.1	5277
679.0	4855
680.9	4394
682.9	3722
684.8	3569
686.7	3012
688.6	2629
690.5	2513
692.4	2322
694.3	2379
696.2	2283
698.0	2015
699.9	2091
701.8	1976
703.6	1899
705.5	2015
707.3	1746
709.1	1823
711.0	1784
712.8	1669
714.6	1823
716.4	1707
718.2	1554
720.0	1669
721.8	1554
723.6	1573
725.4	1612
727.1	1304
728.9	1554
730.7	1554
732.4	1458
734.2	1496
735.9	1362
737.6	1400
739.4	1381
741.1	1304
742.8	1381
744.5	1266
746.2	1209
747.9	1362
749.6	1324
751.3	1324
753.0	1285
754.6	1093
756.3	1362
758.0	1324
759.6	1093
761.3	1573
762.9	1592
764.5	1707
766.2	2110
767.8	1861
769.4	1976
771.0	1823
772.6	1535
774.2	1496
775.8	1113
777.4	1209
779.0	1093
780.5	1074
782.1	1209
783.7	1093
785.2	1055
786.8	1209
788.3	1017
789.8	1093
791.4	1247
792.9	1074
794.4	1247
795.9	1209
797.4	1209
798.9	1420
800.4	1343
801.9	1400
803.4	1592
804.9	1631
806.4	1842
807.8	2034
809.3	2398
810.7	3262
812.2	5143
813.6	11763
815.1	21282
816.5	26041
817.9	25350
819.4	26060
820.8	26348
822.2	27519
823.6	23911
825.0	16484
826.4	8424
827.8	3953
829.1	2974
830.5	2283
831.9	2015
833.3	1899
834.6	1362
836.0	1458
837.3	1362
838.7	1170
840.0	1324
841.4	1074
842.7	978
844.0	1055
845.3	863
846.7	882
848.0	1036
849.3	825
850.6	1017
851.9	767
853.2	748
854.5	940
855.7	748
857.0	882
858.3	882
859.6	556
860.8	940
862.1	633
863.3	671
864.6	959
865.8	652
867.1	825
868.3	844
869.5	633
870.8	748
872.0	652
873.2	614
874.4	748
875.6	575
876.8	633
878.0	614
879.2	575
880.4	729
