# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:41:58 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	383
312.5	287
315.2	479
317.9	249
320.6	479
323.3	403
325.9	268
328.6	633
331.3	441
333.9	326
336.6	498
339.2	345
341.9	460
344.6	479
347.2	326
349.9	422
352.5	345
355.2	345
357.8	537
360.4	211
363.1	364
365.7	403
368.3	230
371.0	403
373.6	326
376.2	287
378.8	479
381.4	364
384.0	479
386.7	441
389.3	326
391.9	498
394.5	498
397.0	537
399.6	575
402.2	633
404.8	959
407.4	1017
410.0	1266
412.5	1823
415.1	2437
417.7	3243
420.2	4644
422.8	5853
425.3	7772
427.9	10151
430.4	13068
433.0	16446
435.5	19939
438.0	24391
440.6	29611
443.1	34639
445.6	39244
448.1	42085
450.6	43313
453.1	41893
455.7	38112
458.1	32201
460.6	27768
463.1	23201
465.6	19823
468.1	17156
470.6	15026
473.0	12857
475.5	11188
478.0	10151
480.4	9441
482.9	9077
485.3	9000
487.8	9403
490.2	9959
492.6	10881
495.1	11917
497.5	13222
499.9	14930
502.3	16926
504.7	18672
507.1	20322
509.5	21819
511.9	23124
514.3	25043
516.7	26502
519.1	28574
521.4	29956
523.8	31491
526.2	32681
528.5	33967
530.9	34869
533.2	35867
535.6	36116
537.9	37037
540.2	37402
542.5	38093
544.9	38553
547.2	38707
549.5	39571
551.8	39628
554.1	40242
556.4	40856
558.7	41279
560.9	41931
563.2	41797
565.5	42238
567.7	42852
570.0	43313
572.2	43006
574.5	43581
576.7	43466
579.0	43159
581.2	43428
583.4	43313
585.6	42871
587.8	43025
590.0	42814
592.2	42392
594.4	41470
596.6	41624
598.8	40856
601.0	39551
603.1	39033
605.3	38246
607.4	37325
609.6	37191
611.7	35445
613.9	34274
616.0	33142
618.1	31798
620.3	30647
622.4	29054
624.5	28075
626.6	27001
628.7	25427
630.8	24084
632.8	22453
634.9	21666
637.0	20821
639.1	19536
641.1	18442
643.2	17616
645.2	16369
647.2	15333
649.3	14412
651.3	13299
653.3	12838
655.3	11994
657.3	11226
659.3	10804
661.3	10151
663.3	9652
665.3	9211
667.3	8424
669.3	7944
671.2	7503
673.2	7042
675.1	6735
677.1	6160
679.0	5814
680.9	5661
682.9	5200
684.8	5162
686.7	4720
688.6	4337
690.5	4125
692.4	3838
694.3	3934
696.2	3722
698.0	3147
699.9	3128
701.8	3012
703.6	2859
705.5	2705
707.3	2437
709.1	2475
711.0	2360
712.8	2149
714.6	2187
716.4	2053
718.2	1823
720.0	1899
721.8	1573
723.6	1631
725.4	1554
727.1	1170
728.9	1420
730.7	1362
732.4	1266
734.2	1266
735.9	1074
737.6	1132
739.4	1113
741.1	978
742.8	1074
744.5	863
746.2	786
747.9	978
749.6	825
751.3	806
753.0	844
754.6	614
756.3	806
758.0	710
759.6	594
761.3	710
762.9	575
764.5	575
766.2	748
767.8	575
769.4	633
771.0	575
772.6	498
774.2	633
775.8	498
777.4	537
779.0	556
780.5	441
782.1	594
783.7	479
785.2	364
786.8	479
788.3	287
789.8	441
791.4	518
792.9	307
794.4	556
795.9	441
797.4	403
798.9	518
800.4	441
801.9	479
803.4	364
804.9	249
806.4	441
807.8	460
809.3	364
810.7	594
812.2	326
813.6	498
815.1	479
816.5	383
817.9	556
819.4	403
820.8	364
822.2	594
823.6	422
825.0	498
826.4	498
827.8	460
829.1	537
830.5	460
831.9	422
833.3	594
834.6	326
836.0	518
837.3	460
838.7	403
840.0	479
841.4	403
842.7	326
844.0	479
845.3	287
846.7	383
848.0	460
849.3	268
850.6	441
851.9	326
853.2	268
854.5	498
855.7	249
857.0	345
858.3	441
859.6	-95
860.8	441
862.1	268
863.3	268
864.6	498
865.8	249
867.1	441
868.3	441
869.5	249
870.8	403
872.0	249
873.2	268
874.4	479
875.6	249
876.8	268
878.0	364
879.2	249
880.4	403
