# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:17:35 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	422
312.5	383
315.2	594
317.9	326
320.6	498
323.3	498
325.9	364
328.6	556
331.3	518
333.9	403
336.6	537
339.2	403
341.9	556
344.6	479
347.2	268
349.9	422
352.5	287
355.2	268
357.8	460
360.4	191
363.1	403
365.7	287
368.3	249
371.0	422
373.6	287
376.2	249
378.8	460
381.4	326
384.0	422
386.7	364
389.3	268
391.9	422
394.5	422
397.0	364
399.6	422
402.2	422
404.8	556
407.4	710
410.0	710
412.5	1113
415.1	1439
417.7	1976
420.2	2955
422.8	4010
425.3	5737
427.9	8156
430.4	11092
433.0	15064
435.5	19516
438.0	24199
440.6	29054
443.1	31952
445.6	32950
448.1	30455
450.6	26425
453.1	22817
455.7	18979
458.1	16676
460.6	14719
463.1	12646
465.6	11072
468.1	9844
470.6	8789
473.0	8578
475.5	8386
478.0	8635
480.4	9153
482.9	9537
485.3	10382
487.8	11380
490.2	12416
492.6	13625
495.1	14872
497.5	15909
499.9	17252
502.3	18403
504.7	19747
507.1	20591
509.5	21666
511.9	22683
514.3	24045
516.7	24813
519.1	26348
521.4	27653
523.8	28498
526.2	29879
528.5	30609
530.9	31299
533.2	31453
535.6	30685
537.9	31914
540.2	31875
542.5	32969
544.9	33372
547.2	34024
549.5	35598
551.8	36404
554.1	38016
556.4	39187
558.7	40856
560.9	42775
563.2	44618
565.5	46249
567.7	48226
570.0	49761
572.2	50835
574.5	52064
576.7	53138
579.0	53695
581.2	54213
583.4	55364
585.6	55518
587.8	56209
590.0	55921
592.2	57149
594.4	56478
596.6	57591
598.8	57207
601.0	56516
603.1	56075
605.3	55326
607.4	54136
609.6	52140
611.7	50701
613.9	49147
616.0	47381
618.1	46076
620.3	44714
622.4	42967
624.5	42852
626.6	40856
628.7	38323
630.8	36020
632.8	33948
634.9	31587
637.0	29745
639.1	27346
641.1	25120
643.2	23738
645.2	21896
647.2	20591
649.3	19094
651.3	17943
653.3	16715
655.3	15601
657.3	14680
659.3	13836
661.3	12262
663.3	11495
665.3	10650
667.3	9691
669.3	9307
671.2	8501
673.2	7887
675.1	7522
677.1	6793
679.0	6448
680.9	6160
682.9	5546
684.8	5469
686.7	5008
688.6	4624
690.5	4433
692.4	4125
694.3	4125
696.2	3953
698.0	3339
699.9	3243
701.8	3012
703.6	2782
705.5	2782
707.3	2513
709.1	2437
711.0	2379
712.8	2091
714.6	2091
716.4	2015
718.2	1746
720.0	1880
721.8	1592
723.6	1554
725.4	1535
727.1	1093
728.9	1362
730.7	1362
732.4	1132
734.2	1247
735.9	1036
737.6	997
739.4	1055
741.1	901
742.8	1017
744.5	863
746.2	748
747.9	959
749.6	748
751.3	748
753.0	786
754.6	479
756.3	729
758.0	633
759.6	498
761.3	710
762.9	441
764.5	575
766.2	729
767.8	518
769.4	556
771.0	498
772.6	403
774.2	594
775.8	441
777.4	575
779.0	441
780.5	498
782.1	518
783.7	441
785.2	422
786.8	556
788.3	422
789.8	518
791.4	594
792.9	383
794.4	594
795.9	479
797.4	498
798.9	652
800.4	498
801.9	594
803.4	479
804.9	441
806.4	633
807.8	556
809.3	556
810.7	786
812.2	556
813.6	671
815.1	690
816.5	518
817.9	710
819.4	575
820.8	518
822.2	786
823.6	671
825.0	729
826.4	710
827.8	556
829.1	786
830.5	614
831.9	594
833.3	863
834.6	537
836.0	710
837.3	825
838.7	671
840.0	729
841.4	671
842.7	575
844.0	748
845.3	518
846.7	556
848.0	652
849.3	518
850.6	652
851.9	556
853.2	479
854.5	690
855.7	498
857.0	614
858.3	594
859.6	287
860.8	594
862.1	441
863.3	403
864.6	652
865.8	403
867.1	556
868.3	575
869.5	364
870.8	556
872.0	383
873.2	403
874.4	556
875.6	326
876.8	403
878.0	498
879.2	383
880.4	479
