# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:46:03 wavelength [nm] [Tab] light intensity Exposure time = 500 ms
wavelength	intensity
309.9	575
312.5	575
315.2	786
317.9	767
320.6	748
323.3	690
325.9	556
328.6	806
331.3	748
333.9	537
336.6	786
339.2	633
341.9	748
344.6	748
347.2	556
349.9	710
352.5	556
355.2	556
357.8	844
360.4	594
363.1	748
365.7	594
368.3	556
371.0	786
373.6	594
376.2	556
378.8	710
381.4	594
384.0	786
386.7	690
389.3	729
391.9	710
394.5	671
397.0	710
399.6	748
402.2	710
404.8	748
407.4	710
410.0	844
412.5	1017
415.1	1017
417.7	1093
420.2	1439
422.8	1631
425.3	2034
427.9	2629
430.4	3454
433.0	4893
435.5	6256
438.0	8693
440.6	12262
443.1	16100
445.6	20207
448.1	22433
450.6	22606
453.1	21531
455.7	19133
458.1	16868
460.6	15697
463.1	14009
465.6	13164
468.1	11859
470.6	10612
473.0	9614
475.5	9249
478.0	9000
480.4	9460
482.9	9614
485.3	9921
487.8	10765
490.2	11303
492.6	12377
495.1	13088
497.5	14009
499.9	15064
502.3	15793
504.7	16465
507.1	16926
509.5	17386
511.9	17828
514.3	18614
516.7	18921
519.1	19823
521.4	20207
523.8	21071
526.2	21685
528.5	22050
530.9	22760
533.2	23047
535.6	23067
537.9	23815
540.2	24084
542.5	24909
544.9	25120
547.2	25427
549.5	25811
551.8	26137
554.1	26598
556.4	26655
558.7	27154
560.9	27519
563.2	28114
565.5	28440
567.7	29188
570.0	29668
572.2	29803
574.5	30263
576.7	30839
579.0	31050
581.2	31760
583.4	32412
585.6	33046
587.8	33123
590.0	33046
592.2	33909
594.4	33334
596.6	33641
598.8	33199
601.0	32566
603.1	32067
605.3	32259
607.4	31146
609.6	30973
611.7	30052
613.9	28728
616.0	28114
618.1	26847
620.3	26041
622.4	24736
624.5	23930
626.6	23163
628.7	22126
630.8	21205
632.8	20130
634.9	19133
637.0	18768
639.1	17674
641.1	16753
643.2	16100
645.2	15198
647.2	14143
649.3	13395
651.3	12608
653.3	11859
655.3	11245
657.3	10612
659.3	10075
661.3	9192
663.3	8731
665.3	8424
667.3	7733
669.3	7407
671.2	6927
673.2	6313
675.1	6179
677.1	5488
679.0	5200
680.9	4951
682.9	4797
684.8	4548
686.7	4087
688.6	3780
690.5	3665
692.4	3511
694.3	3358
696.2	3262
698.0	2782
699.9	2763
701.8	2437
703.6	2437
705.5	2418
707.3	2168
709.1	2091
711.0	2245
712.8	1823
714.6	1976
716.4	1861
718.2	1631
720.0	1650
721.8	1669
723.6	1496
725.4	1439
727.1	1189
728.9	1266
730.7	1324
732.4	1247
734.2	1247
735.9	978
737.6	1209
739.4	1170
741.1	901
742.8	997
744.5	940
746.2	863
747.9	1170
749.6	825
751.3	882
753.0	959
754.6	671
756.3	882
758.0	940
759.6	652
761.3	940
762.9	806
764.5	748
766.2	1209
767.8	710
769.4	863
771.0	710
772.6	652
774.2	767
775.8	710
777.4	729
779.0	710
780.5	767
782.1	671
783.7	594
785.2	748
786.8	767
788.3	518
789.8	633
791.4	863
792.9	556
794.4	786
795.9	652
797.4	671
798.9	825
800.4	748
801.9	786
803.4	652
804.9	671
806.4	786
807.8	652
809.3	786
810.7	997
812.2	863
813.6	1209
815.1	1420
816.5	1516
817.9	1707
819.4	1458
820.8	1324
822.2	1420
823.6	1093
825.0	1017
826.4	863
827.8	767
829.1	1017
830.5	940
831.9	710
833.3	806
834.6	537
836.0	863
837.3	901
838.7	1093
840.0	940
841.4	671
842.7	748
844.0	748
845.3	556
846.7	748
848.0	806
849.3	671
850.6	748
851.9	652
853.2	710
854.5	940
855.7	594
857.0	652
858.3	748
859.6	460
860.8	806
862.1	710
863.3	671
864.6	806
865.8	690
867.1	786
868.3	748
869.5	556
870.8	844
872.0	710
873.2	633
874.4	901
875.6	844
876.8	921
878.0	671
879.2	786
880.4	767
