# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:49:03 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	172
312.5	95
315.2	364
317.9	134
320.6	287
323.3	249
325.9	134
328.6	364
331.3	268
333.9	115
336.6	326
339.2	211
341.9	326
344.6	345
347.2	134
349.9	364
352.5	268
355.2	134
357.8	403
360.4	134
363.1	287
365.7	172
368.3	134
371.0	326
373.6	211
376.2	191
378.8	326
381.4	172
384.0	326
386.7	326
389.3	211
391.9	403
394.5	422
397.0	498
399.6	710
402.2	786
404.8	940
407.4	1017
410.0	940
412.5	1170
415.1	1285
417.7	1170
420.2	1477
422.8	1400
425.3	1554
427.9	1669
430.4	1976
433.0	2437
435.5	2475
438.0	2475
440.6	2609
443.1	2590
445.6	3051
448.1	3166
450.6	3243
453.1	3358
455.7	2936
458.1	2859
460.6	4030
463.1	5430
465.6	6390
468.1	6390
470.6	5392
473.0	3569
475.5	2322
478.0	1650
480.4	1247
482.9	1132
485.3	1400
487.8	1823
490.2	3166
492.6	7695
495.1	10362
497.5	10842
499.9	10842
502.3	7311
504.7	2552
507.1	1592
509.5	1976
511.9	2475
514.3	2552
516.7	2437
519.1	2187
521.4	1093
523.8	997
526.2	1093
528.5	901
530.9	1093
533.2	1017
535.6	1093
537.9	1362
540.2	1669
542.5	2283
544.9	2782
547.2	3415
549.5	4241
551.8	4855
554.1	6083
556.4	7695
558.7	10574
560.9	17329
563.2	32412
565.5	42085
567.7	45462
570.0	47151
572.2	41797
574.5	28114
576.7	27269
579.0	34255
581.2	42622
583.4	45462
585.6	45769
587.8	49531
590.0	50605
592.2	51757
594.4	56362
596.6	59049
598.8	54597
601.0	46460
603.1	40664
605.3	34946
607.4	30263
609.6	28421
611.7	26809
613.9	24659
616.0	22817
618.1	20898
620.3	18135
622.4	13989
624.5	12800
626.6	11840
628.7	11226
630.8	10612
632.8	10382
634.9	9652
637.0	9768
639.1	9192
641.1	8578
643.2	8386
645.2	8002
647.2	7637
649.3	7196
651.3	6793
653.3	6697
655.3	6544
657.3	6409
659.3	6544
661.3	6006
663.3	5968
665.3	5968
667.3	5929
669.3	6160
671.2	6025
673.2	5699
675.1	5622
677.1	4951
679.0	4624
680.9	4183
682.9	3588
684.8	3511
686.7	3051
688.6	2648
690.5	2590
692.4	2360
694.3	2322
696.2	2245
698.0	1938
699.9	2034
701.8	2091
703.6	1938
705.5	2091
707.3	1842
709.1	1938
711.0	1823
712.8	1707
714.6	1823
716.4	1707
718.2	1554
720.0	1707
721.8	1477
723.6	1592
725.4	1516
727.1	1420
728.9	1554
730.7	1516
732.4	1477
734.2	1400
735.9	1285
737.6	1362
739.4	1400
741.1	1247
742.8	1400
744.5	1324
746.2	1170
747.9	1477
749.6	1324
751.3	1400
753.0	1400
754.6	1113
756.3	1400
758.0	1209
759.6	1209
761.3	1458
762.9	1477
764.5	1842
766.2	1976
767.8	1938
769.4	1938
771.0	1669
772.6	1362
774.2	1362
775.8	1055
777.4	978
779.0	1093
780.5	901
782.1	1093
783.7	901
785.2	901
786.8	1017
788.3	844
789.8	1017
791.4	1055
792.9	901
794.4	1093
795.9	978
797.4	940
798.9	1209
800.4	1055
801.9	1170
803.4	1209
804.9	1093
806.4	1477
807.8	1669
809.3	2130
810.7	3166
812.2	5181
813.6	9307
815.1	13989
816.5	18365
817.9	21205
819.4	22740
820.8	22145
822.2	20361
823.6	16676
825.0	10689
826.4	5546
827.8	3166
829.1	2322
830.5	1746
831.9	1477
833.3	1439
834.6	1017
836.0	1017
837.3	1017
838.7	825
840.0	940
841.4	710
842.7	614
844.0	748
845.3	441
846.7	594
848.0	633
849.3	479
850.6	633
851.9	441
853.2	364
854.5	671
855.7	498
857.0	556
858.3	575
859.6	249
860.8	537
862.1	345
863.3	326
864.6	556
865.8	383
867.1	498
868.3	518
869.5	191
870.8	479
872.0	326
873.2	249
874.4	479
875.6	345
876.8	364
878.0	403
879.2	287
880.4	479
