# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:32:38 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	134
312.5	95
315.2	307
317.9	95
320.6	211
323.3	211
325.9	95
328.6	345
331.3	172
333.9	191
336.6	268
339.2	172
341.9	268
344.6	287
347.2	76
349.9	307
352.5	211
355.2	191
357.8	345
360.4	95
363.1	249
365.7	172
368.3	134
371.0	287
373.6	153
376.2	191
378.8	326
381.4	191
384.0	249
386.7	287
389.3	134
391.9	326
394.5	268
397.0	268
399.6	287
402.2	230
404.8	287
407.4	364
410.0	211
412.5	403
415.1	307
417.7	268
420.2	498
422.8	326
425.3	403
427.9	403
430.4	364
433.0	556
435.5	518
438.0	403
440.6	633
443.1	518
445.6	556
448.1	671
450.6	518
453.1	825
455.7	594
458.1	633
460.6	748
463.1	671
465.6	959
468.1	1055
470.6	806
473.0	844
475.5	594
478.0	422
480.4	479
482.9	364
485.3	364
487.8	403
490.2	441
492.6	652
495.1	748
497.5	786
499.9	1017
502.3	671
504.7	479
507.1	498
509.5	345
511.9	556
514.3	537
516.7	287
519.1	537
521.4	383
523.8	364
526.2	422
528.5	287
530.9	479
533.2	345
535.6	326
537.9	498
540.2	345
542.5	518
544.9	575
547.2	633
549.5	1017
551.8	1093
554.1	1247
556.4	1573
558.7	1765
560.9	2283
563.2	2955
565.5	3780
567.7	4433
570.0	4740
572.2	4912
574.5	4471
576.7	5085
579.0	6563
581.2	8271
583.4	9691
585.6	9499
587.8	9230
590.0	8962
592.2	9729
594.4	11955
596.6	14297
598.8	14469
601.0	12876
603.1	11994
605.3	10708
607.4	9096
609.6	8463
611.7	7311
613.9	6947
616.0	6160
618.1	5334
620.3	5200
622.4	4356
624.5	4202
626.6	3914
628.7	3550
630.8	3396
632.8	3396
634.9	3012
637.0	3204
639.1	2859
641.1	2705
643.2	2744
645.2	2648
647.2	2398
649.3	2475
651.3	2130
653.3	2168
655.3	2130
657.3	2130
659.3	2168
661.3	1899
663.3	1899
665.3	2015
667.3	1861
669.3	2034
671.2	1976
673.2	1727
675.1	1899
677.1	1669
679.0	1612
680.9	1496
682.9	1189
684.8	1285
686.7	1055
688.6	882
690.5	882
692.4	806
694.3	863
696.2	901
698.0	633
699.9	748
701.8	710
703.6	671
705.5	786
707.3	633
709.1	748
711.0	710
712.8	652
714.6	710
716.4	710
718.2	614
720.0	729
721.8	614
723.6	594
725.4	575
727.1	441
728.9	614
730.7	671
732.4	537
734.2	614
735.9	479
737.6	537
739.4	575
741.1	441
742.8	556
744.5	479
746.2	307
747.9	633
749.6	441
751.3	498
753.0	575
754.6	307
756.3	556
758.0	498
759.6	383
761.3	556
762.9	441
764.5	575
766.2	671
767.8	556
769.4	614
771.0	652
772.6	479
774.2	575
775.8	403
777.4	479
779.0	422
780.5	383
782.1	518
783.7	383
785.2	403
786.8	556
788.3	307
789.8	403
791.4	537
792.9	287
794.4	518
795.9	345
797.4	326
798.9	556
800.4	441
801.9	498
803.4	441
804.9	287
806.4	556
807.8	498
809.3	422
810.7	633
812.2	479
813.6	786
815.1	1113
816.5	1612
817.9	2322
819.4	2322
820.8	2398
822.2	2859
823.6	2667
825.0	2015
826.4	940
827.8	556
829.1	556
830.5	441
831.9	364
833.3	498
834.6	287
836.0	403
837.3	518
838.7	326
840.0	460
841.4	345
842.7	287
844.0	422
845.3	191
846.7	268
848.0	364
849.3	172
850.6	345
851.9	211
853.2	211
854.5	403
855.7	172
857.0	268
858.3	268
859.6	95
860.8	441
862.1	230
863.3	172
864.6	364
865.8	191
867.1	345
868.3	403
869.5	172
870.8	345
872.0	230
873.2	191
874.4	403
875.6	172
876.8	268
878.0	307
879.2	230
880.4	403
