# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:49:01 wavelength [nm] [Tab] light intensity Exposure time = 5 ms
wavelength	intensity
309.9	326
312.5	211
315.2	422
317.9	172
320.6	441
323.3	326
325.9	249
328.6	364
331.3	345
333.9	249
336.6	422
339.2	287
341.9	441
344.6	479
347.2	191
349.9	441
352.5	345
355.2	326
357.8	556
360.4	1017
363.1	1343
365.7	1400
368.3	1189
371.0	710
373.6	594
376.2	556
378.8	863
381.4	786
384.0	978
386.7	1113
389.3	1036
391.9	1362
394.5	1535
397.0	1823
399.6	4030
402.2	4337
404.8	4951
407.4	5104
410.0	2974
412.5	2725
415.1	2859
417.7	2974
420.2	3262
422.8	3396
425.3	3665
427.9	4337
430.4	8808
433.0	9710
435.5	10458
438.0	10996
440.6	7407
443.1	6025
445.6	6889
448.1	7561
450.6	7714
453.1	7772
455.7	6947
458.1	6851
460.6	8846
463.1	11092
465.6	12761
468.1	13164
470.6	11687
473.0	7695
475.5	4931
478.0	3204
480.4	2187
482.9	1727
485.3	2110
487.8	2801
490.2	5392
492.6	13395
495.1	16158
497.5	16465
499.9	17367
502.3	11994
504.7	4010
507.1	2494
509.5	3243
511.9	3569
514.3	3703
516.7	3627
519.1	3108
521.4	1592
523.8	1400
526.2	1477
528.5	1400
530.9	1573
533.2	1707
535.6	1957
537.9	3108
540.2	7887
542.5	10075
544.9	11072
547.2	11955
549.5	11763
551.8	6639
554.1	6889
556.4	9077
558.7	13337
560.9	25811
563.2	52371
565.5	61429
567.7	64518
570.0	65747
572.2	62158
574.5	37018
576.7	30877
579.0	40261
581.2	59740
583.4	66150
585.6	66188
587.8	66150
590.0	66188
592.2	66188
594.4	66150
596.6	66303
598.8	66188
601.0	66188
603.1	66284
605.3	66188
607.4	65843
609.6	64058
611.7	59433
613.9	54520
616.0	49934
618.1	46191
620.3	40549
622.4	32796
624.5	30397
626.6	28267
628.7	26540
630.8	25350
632.8	24084
634.9	22856
637.0	22587
639.1	21224
641.1	20284
643.2	19632
645.2	18442
647.2	17597
649.3	16542
651.3	15793
653.3	15793
655.3	15371
657.3	15083
659.3	14680
661.3	13989
663.3	13836
665.3	13682
667.3	13682
669.3	14220
671.2	13913
673.2	13529
675.1	13088
677.1	11456
679.0	10554
680.9	9153
682.9	7618
684.8	6947
686.7	5968
688.6	5104
690.5	4797
692.4	4452
694.3	4279
696.2	4164
698.0	3799
699.9	3818
701.8	3722
703.6	3684
705.5	3627
707.3	3319
709.1	3358
711.0	3281
712.8	3089
714.6	3089
716.4	3012
718.2	2744
720.0	2936
721.8	2763
723.6	2782
725.4	2667
727.1	2475
728.9	2629
730.7	2590
732.4	2475
734.2	2398
735.9	2283
737.6	2398
739.4	2360
741.1	2245
742.8	2437
744.5	2283
746.2	2053
747.9	2322
749.6	2226
751.3	2206
753.0	2187
754.6	2015
756.3	2245
758.0	2168
759.6	2053
761.3	2629
762.9	2916
764.5	3396
766.2	3627
767.8	3742
769.4	3703
771.0	3415
772.6	2705
774.2	2322
775.8	1765
777.4	1669
779.0	1669
780.5	1516
782.1	1573
783.7	1516
785.2	1516
786.8	1631
788.3	1362
789.8	1420
791.4	1496
792.9	1266
794.4	1554
795.9	1477
797.4	1554
798.9	1707
800.4	1496
801.9	1669
803.4	1823
804.9	1688
806.4	2322
807.8	2590
809.3	3012
810.7	4701
812.2	8693
813.6	17290
815.1	27365
816.5	35042
817.9	38553
819.4	40971
820.8	42392
822.2	40876
823.6	34120
825.0	21128
826.4	9614
827.8	4951
829.1	3665
830.5	2936
831.9	2494
833.3	2264
834.6	1823
836.0	1823
837.3	1573
838.7	1400
840.0	1400
841.4	1170
842.7	1074
844.0	1170
845.3	806
846.7	959
848.0	940
849.3	786
850.6	710
851.9	786
853.2	671
854.5	882
855.7	671
857.0	806
858.3	786
859.6	498
860.8	863
862.1	710
863.3	498
864.6	825
865.8	556
867.1	748
868.3	671
869.5	460
870.8	748
872.0	498
873.2	479
874.4	633
875.6	441
876.8	556
878.0	518
879.2	479
880.4	594
