# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:38:25 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	326
312.5	249
315.2	460
317.9	211
320.6	403
323.3	383
325.9	287
328.6	479
331.3	383
333.9	249
336.6	460
339.2	287
341.9	441
344.6	364
347.2	211
349.9	383
352.5	268
355.2	287
357.8	403
360.4	134
363.1	422
365.7	211
368.3	211
371.0	364
373.6	249
376.2	230
378.8	383
381.4	230
384.0	383
386.7	364
389.3	249
391.9	326
394.5	364
397.0	364
399.6	441
402.2	364
404.8	575
407.4	498
410.0	479
412.5	594
415.1	690
417.7	671
420.2	844
422.8	748
425.3	806
427.9	882
430.4	997
433.0	1228
435.5	1228
438.0	1170
440.6	1343
443.1	1324
445.6	1669
448.1	1765
450.6	1554
453.1	1765
455.7	1573
458.1	1650
460.6	2456
463.1	2725
465.6	3128
468.1	3012
470.6	2149
473.0	1688
475.5	1247
478.0	882
480.4	997
482.9	901
485.3	978
487.8	1324
490.2	2513
492.6	4394
495.1	4740
497.5	4663
499.9	3934
502.3	1976
504.7	1247
507.1	1343
509.5	1420
511.9	1631
514.3	1707
516.7	1266
519.1	1151
521.4	921
523.8	882
526.2	997
528.5	863
530.9	1017
533.2	959
535.6	959
537.9	1324
540.2	1362
542.5	1727
544.9	2322
547.2	2763
549.5	3607
551.8	3780
554.1	4433
556.4	5162
558.7	6851
560.9	12473
563.2	17540
565.5	19363
567.7	21052
570.0	20226
572.2	16312
574.5	17002
576.7	19382
579.0	21570
581.2	20917
583.4	18480
585.6	16580
587.8	16120
590.0	18077
592.2	23124
594.4	27154
596.6	29495
598.8	28402
601.0	25830
603.1	23719
605.3	21032
607.4	19190
609.6	18288
611.7	16599
613.9	15371
616.0	13913
618.1	12013
620.3	10171
622.4	9057
624.5	8520
626.6	7964
628.7	7234
630.8	6716
632.8	6371
634.9	5795
637.0	5929
639.1	5373
641.1	4989
643.2	4931
645.2	4586
647.2	4433
649.3	4183
651.3	3934
653.3	3972
655.3	3857
657.3	3588
659.3	3665
661.3	3492
663.3	3473
665.3	3607
667.3	3339
669.3	3569
671.2	3358
673.2	3185
675.1	3128
677.1	2725
679.0	2609
680.9	2341
682.9	2034
684.8	1976
686.7	1727
688.6	1612
690.5	1592
692.4	1400
694.3	1573
696.2	1554
698.0	1266
699.9	1400
701.8	1343
703.6	1285
705.5	1304
707.3	1228
709.1	1304
711.0	1228
712.8	1151
714.6	1343
716.4	1324
718.2	1132
720.0	1324
721.8	1170
723.6	1228
725.4	1285
727.1	959
728.9	1132
730.7	1170
732.4	1113
734.2	1132
735.9	921
737.6	1093
739.4	1093
741.1	978
742.8	1113
744.5	1017
746.2	863
747.9	1170
749.6	1055
751.3	1074
753.0	1113
754.6	844
756.3	1074
758.0	940
759.6	901
761.3	1151
762.9	1036
764.5	1209
766.2	1439
767.8	1209
769.4	1266
771.0	1074
772.6	997
774.2	1036
775.8	901
777.4	978
779.0	882
780.5	767
782.1	978
783.7	901
785.2	825
786.8	997
788.3	806
789.8	921
791.4	1074
792.9	825
794.4	1074
795.9	940
797.4	978
798.9	1209
800.4	1017
801.9	1170
803.4	1113
804.9	1074
806.4	1381
807.8	1458
809.3	1612
810.7	2494
812.2	3722
813.6	6179
815.1	8117
816.5	9249
817.9	10094
819.4	10094
820.8	9652
822.2	8386
823.6	5680
825.0	3684
826.4	2456
827.8	1535
829.1	1381
830.5	1036
831.9	978
833.3	959
834.6	767
836.0	825
837.3	940
838.7	671
840.0	863
841.4	614
842.7	614
844.0	690
845.3	460
846.7	575
848.0	594
849.3	518
850.6	671
851.9	498
853.2	403
854.5	690
855.7	479
857.0	594
858.3	633
859.6	307
860.8	614
862.1	422
863.3	383
864.6	652
865.8	383
867.1	575
868.3	594
869.5	345
870.8	537
872.0	364
873.2	364
874.4	537
875.6	364
876.8	403
878.0	441
879.2	422
880.4	575
