# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 19:56:04 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	364
312.5	307
315.2	518
317.9	287
320.6	498
323.3	441
325.9	364
328.6	614
331.3	460
333.9	345
336.6	518
339.2	383
341.9	498
344.6	479
347.2	307
349.9	479
352.5	403
355.2	383
357.8	498
360.4	249
363.1	441
365.7	287
368.3	345
371.0	441
373.6	364
376.2	326
378.8	498
381.4	364
384.0	441
386.7	441
389.3	307
391.9	460
394.5	364
397.0	383
399.6	479
402.2	441
404.8	594
407.4	575
410.0	652
412.5	844
415.1	1247
417.7	1535
420.2	2360
422.8	2897
425.3	4030
427.9	5392
430.4	7273
433.0	10305
435.5	13951
438.0	19075
440.6	26751
443.1	35445
445.6	45424
448.1	52390
450.6	55134
453.1	54175
455.7	49166
458.1	42871
460.6	37901
463.1	33909
465.6	30954
468.1	27730
470.6	24851
473.0	22126
475.5	19881
478.0	18902
480.4	18921
482.9	18979
485.3	19632
487.8	20668
490.2	21762
492.6	23067
495.1	24544
497.5	26291
499.9	28114
502.3	29668
504.7	31357
507.1	32528
509.5	33909
511.9	34523
514.3	35809
516.7	36577
519.1	37939
521.4	38707
523.8	40357
526.2	40971
528.5	41797
530.9	42392
533.2	43121
535.6	42833
537.9	43793
540.2	44157
542.5	44963
544.9	45692
547.2	45999
549.5	46844
551.8	46498
554.1	46863
556.4	46652
558.7	46537
560.9	46844
563.2	46556
565.5	46498
567.7	47535
570.0	48034
572.2	48456
574.5	49070
576.7	49473
579.0	49761
581.2	49914
583.4	50490
585.6	50394
587.8	50221
590.0	49262
592.2	49358
594.4	48552
596.6	49377
598.8	49300
601.0	48993
603.1	49262
605.3	49396
607.4	48686
609.6	48168
611.7	46997
613.9	46191
616.0	44848
618.1	43236
620.3	41701
622.4	39954
624.5	39571
626.6	37901
628.7	35752
630.8	34639
632.8	33046
634.9	31914
637.0	31568
639.1	29649
641.1	28382
643.2	26962
645.2	25638
647.2	24276
649.3	22951
651.3	21762
653.3	20303
655.3	19017
657.3	17943
659.3	17444
661.3	15909
663.3	15179
665.3	14258
667.3	13088
669.3	12493
671.2	11629
673.2	10842
675.1	10401
677.1	9403
679.0	9134
680.9	8424
682.9	7695
684.8	7465
686.7	6889
688.6	6352
690.5	6006
692.4	5565
694.3	5296
696.2	4951
698.0	4509
699.9	4241
701.8	3934
703.6	3703
705.5	3550
707.3	3281
709.1	3166
711.0	2897
712.8	2552
714.6	2629
716.4	2398
718.2	2245
720.0	2187
721.8	2015
723.6	1957
725.4	1823
727.1	1477
728.9	1592
730.7	1612
732.4	1496
734.2	1535
735.9	1209
737.6	1285
739.4	1247
741.1	1093
742.8	1209
744.5	1055
746.2	863
747.9	1151
749.6	921
751.3	959
753.0	844
754.6	633
756.3	901
758.0	748
759.6	710
761.3	844
762.9	594
764.5	671
766.2	767
767.8	633
769.4	652
771.0	594
772.6	537
774.2	710
775.8	498
777.4	614
779.0	575
780.5	498
782.1	671
783.7	518
785.2	498
786.8	652
788.3	422
789.8	518
791.4	633
792.9	422
794.4	594
795.9	460
797.4	441
798.9	633
800.4	479
801.9	537
803.4	479
804.9	268
806.4	518
807.8	479
809.3	479
810.7	594
812.2	403
813.6	537
815.1	518
816.5	422
817.9	537
819.4	403
820.8	345
822.2	633
823.6	364
825.0	498
826.4	498
827.8	403
829.1	575
830.5	403
831.9	422
833.3	556
834.6	364
836.0	479
837.3	594
838.7	383
840.0	575
841.4	403
842.7	403
844.0	498
845.3	326
846.7	403
848.0	479
849.3	364
850.6	518
851.9	268
853.2	326
854.5	518
855.7	287
857.0	441
858.3	422
859.6	153
860.8	498
862.1	383
863.3	249
864.6	556
865.8	326
867.1	479
868.3	479
869.5	211
870.8	441
872.0	326
873.2	287
874.4	441
875.6	307
876.8	326
878.0	403
879.2	287
880.4	441
