# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:09:41 wavelength [nm] [Tab] light intensity Exposure time = 100 ms
wavelength	intensity
309.9	1976
312.5	1823
315.2	1899
317.9	1631
320.6	1880
323.3	1823
325.9	1669
328.6	1707
331.3	1477
333.9	1285
336.6	1400
339.2	1170
341.9	1266
344.6	1209
347.2	940
349.9	1093
352.5	978
355.2	978
357.8	1151
360.4	806
363.1	959
365.7	825
368.3	825
371.0	901
373.6	806
376.2	806
378.8	882
381.4	786
384.0	921
386.7	825
389.3	825
391.9	940
394.5	997
397.0	1055
399.6	1170
402.2	1151
404.8	1324
407.4	1400
410.0	1381
412.5	1592
415.1	1631
417.7	1669
420.2	1976
422.8	1938
425.3	2245
427.9	2437
430.4	2686
433.0	3262
435.5	3511
438.0	3857
440.6	4433
443.1	4740
445.6	5315
448.1	5872
450.6	6121
453.1	7100
455.7	8002
458.1	8674
460.6	9691
463.1	10535
465.6	11994
468.1	12992
470.6	14258
473.0	15697
475.5	16945
478.0	18058
480.4	19632
482.9	20936
485.3	22050
487.8	23431
490.2	24544
492.6	25888
495.1	26271
497.5	27385
499.9	28421
502.3	29649
504.7	30263
507.1	30724
509.5	31568
511.9	31645
514.3	32144
516.7	32681
519.1	32988
521.4	33334
523.8	34024
526.2	34101
528.5	34063
530.9	33794
533.2	32911
535.6	31798
537.9	31203
540.2	29726
542.5	28651
544.9	27461
547.2	25139
549.5	23508
551.8	20514
554.1	18096
556.4	15678
558.7	13414
560.9	11763
563.2	10266
565.5	8770
567.7	8271
570.0	7618
572.2	6774
574.5	6198
576.7	5737
579.0	5200
581.2	4893
583.4	4394
585.6	4010
587.8	3684
590.0	3204
592.2	2974
594.4	2590
596.6	2302
598.8	2091
601.0	1707
603.1	1823
605.3	1707
607.4	1631
609.6	1707
611.7	1573
613.9	1707
616.0	1688
618.1	1554
620.3	1631
622.4	1477
624.5	1477
626.6	1592
628.7	1420
630.8	1400
632.8	1381
634.9	1170
637.0	1362
639.1	1170
641.1	1055
643.2	1189
645.2	1093
647.2	1055
649.3	1074
651.3	1017
653.3	959
655.3	1017
657.3	901
659.3	1113
661.3	786
663.3	901
665.3	921
667.3	825
669.3	940
671.2	825
673.2	652
675.1	863
677.1	748
679.0	863
680.9	901
682.9	748
684.8	863
686.7	806
688.6	671
690.5	863
692.4	748
694.3	863
696.2	1017
698.0	901
699.9	1170
701.8	1285
703.6	1554
705.5	1976
707.3	2322
709.1	2936
711.0	3818
712.8	4356
714.6	5488
716.4	6467
718.2	7484
720.0	9115
721.8	10497
723.6	12147
725.4	14105
727.1	15947
728.9	18902
730.7	21167
732.4	24218
734.2	27346
735.9	30570
737.6	34140
739.4	37325
741.1	40165
742.8	42641
744.5	45539
746.2	47535
747.9	50644
749.6	51910
751.3	54213
753.0	56516
754.6	58358
756.3	60930
758.0	62964
759.6	63904
761.3	64960
762.9	65497
764.5	65747
766.2	65804
767.8	65958
769.4	65843
771.0	65881
772.6	65881
774.2	66034
775.8	65958
777.4	66054
779.0	66034
780.5	66034
782.1	65977
783.7	66188
785.2	66342
786.8	66034
788.3	66150
789.8	66150
791.4	66054
792.9	66054
794.4	66054
795.9	66150
797.4	65881
798.9	65958
800.4	65593
801.9	65440
803.4	65344
804.9	64883
806.4	64960
807.8	65113
809.3	64518
810.7	64729
812.2	64115
813.6	64000
815.1	63885
816.5	63271
817.9	62772
819.4	62772
820.8	61429
822.2	61505
823.6	60354
825.0	59279
826.4	58627
827.8	57706
829.1	56516
830.5	55288
831.9	54175
833.3	53254
834.6	52639
836.0	52217
837.3	51066
838.7	50394
840.0	49684
841.4	49377
842.7	48955
844.0	48763
845.3	48149
846.7	47611
848.0	47304
849.3	46306
850.6	45769
851.9	44790
853.2	43409
854.5	43159
855.7	42161
857.0	41547
858.3	39743
859.6	38861
860.8	38400
862.1	37402
863.3	36558
864.6	36481
865.8	35598
867.1	35022
868.3	35022
869.5	34370
870.8	34024
872.0	33756
873.2	32950
874.4	32835
875.6	32259
876.8	31760
878.0	30973
879.2	29956
880.4	29457
