# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:42:57 wavelength [nm] [Tab] light intensity Exposure time = 5 ms
wavelength	intensity
309.9	191
312.5	191
315.2	364
317.9	134
320.6	307
323.3	249
325.9	191
328.6	422
331.3	268
333.9	172
336.6	364
339.2	268
341.9	345
344.6	326
347.2	134
349.9	268
352.5	249
355.2	172
357.8	422
360.4	95
363.1	326
365.7	191
368.3	134
371.0	326
373.6	287
376.2	230
378.8	383
381.4	230
384.0	287
386.7	249
389.3	172
391.9	268
394.5	287
397.0	211
399.6	287
402.2	191
404.8	191
407.4	268
410.0	249
412.5	364
415.1	326
417.7	191
420.2	441
422.8	172
425.3	268
427.9	249
430.4	249
433.0	403
435.5	345
438.0	134
440.6	422
443.1	268
445.6	249
448.1	307
450.6	57
453.1	326
455.7	230
458.1	249
460.6	326
463.1	134
465.6	383
468.1	345
470.6	153
473.0	345
475.5	287
478.0	287
480.4	479
482.9	422
485.3	326
487.8	441
490.2	287
492.6	326
495.1	326
497.5	307
499.9	479
502.3	345
504.7	403
507.1	498
509.5	268
511.9	441
514.3	460
516.7	211
519.1	479
521.4	326
523.8	326
526.2	422
528.5	307
530.9	479
533.2	403
535.6	441
537.9	633
540.2	441
542.5	556
544.9	710
547.2	748
549.5	1170
551.8	1381
554.1	1669
556.4	2245
558.7	2801
560.9	3934
563.2	5315
565.5	6774
567.7	9460
570.0	12838
572.2	17213
574.5	23047
576.7	29726
579.0	37728
581.2	45309
583.4	50337
585.6	50241
587.8	45923
590.0	37594
592.2	29668
594.4	21992
596.6	17329
598.8	13375
601.0	9959
603.1	7618
605.3	5258
607.4	3780
609.6	2897
611.7	1899
613.9	1573
616.0	1266
618.1	863
620.3	882
622.4	671
624.5	537
626.6	633
628.7	422
630.8	479
632.8	441
634.9	345
637.0	498
639.1	403
641.1	191
643.2	460
645.2	307
647.2	364
649.3	383
651.3	191
653.3	403
655.3	364
657.3	326
659.3	537
661.3	249
663.3	268
665.3	364
667.3	249
669.3	460
671.2	345
673.2	134
675.1	403
677.1	172
679.0	326
680.9	403
682.9	249
684.8	441
686.7	345
688.6	191
690.5	441
692.4	326
694.3	383
696.2	479
698.0	249
699.9	268
701.8	249
703.6	249
705.5	345
707.3	211
709.1	326
711.0	326
712.8	249
714.6	403
716.4	364
718.2	249
720.0	422
721.8	287
723.6	364
725.4	326
727.1	172
728.9	326
730.7	364
732.4	249
734.2	422
735.9	172
737.6	307
739.4	326
741.1	249
742.8	441
744.5	249
746.2	230
747.9	441
749.6	307
751.3	326
753.0	345
754.6	191
756.3	403
758.0	326
759.6	249
761.3	441
762.9	172
764.5	326
766.2	403
767.8	326
769.4	422
771.0	287
772.6	268
774.2	441
775.8	345
777.4	441
779.0	364
780.5	403
782.1	479
783.7	364
785.2	345
786.8	498
788.3	345
789.8	479
791.4	614
792.9	345
794.4	556
795.9	518
797.4	498
798.9	671
800.4	575
801.9	652
803.4	498
804.9	422
806.4	767
807.8	671
809.3	710
810.7	882
812.2	652
813.6	882
815.1	901
816.5	901
817.9	1036
819.4	940
820.8	921
822.2	1247
823.6	1017
825.0	1113
826.4	1266
827.8	1170
829.1	1420
830.5	1266
831.9	1324
833.3	1516
834.6	1400
836.0	1631
837.3	1765
838.7	1631
840.0	1861
841.4	1707
842.7	1861
844.0	2034
845.3	1899
846.7	2034
848.0	2187
849.3	2168
850.6	2322
851.9	2206
853.2	2245
854.5	2590
855.7	2360
857.0	2552
858.3	2590
859.6	2398
860.8	2705
862.1	2341
863.3	2398
864.6	2494
865.8	2341
867.1	2437
868.3	2475
869.5	2187
870.8	2322
872.0	2053
873.2	1938
874.4	2091
875.6	1707
876.8	1823
878.0	1746
879.2	1631
880.4	1669
