,Unnamed: 0,Y,X,time,txt
0,453,48.127498,17.11896,20251006190634, new lamps on the very warm setting
1,503,48.127347,17.118781,20251006190731,
2,541,48.127161,17.118606,20251006190816,
3,583,48.12697,17.118385,20251006190904,
4,618,48.126803,17.118206,20251006190946,
5,651,48.126611,17.118007,20251006191027,
6,682,48.126408,17.117829,20251006191106,
7,713,48.126357,17.11761,20251006191143,
8,771,48.126063,17.117472,20251006191246,
9,794,48.125878,17.117306,20251006191315,
10,812,48.125846,17.117179,20251006191339,
11,850,48.125686,17.117093,20251006191420,
12,873,48.125488,17.116952,20251006191450,
13,939,48.125272,17.116701,20251006191605,
14,982,48.125138,17.116578,20251006191656,
15,1023,48.124922,17.116385,20251006191744,
16,1055,48.124742,17.11622,20251006191823,
17,1105,48.124357,17.115837,20251006191923,
18,1140,48.124175,17.115641,20251006192003,
19,1166,48.123996,17.115479,20251006192035,
20,1231,48.12377,17.115323,20251006192154,
21,1267,48.123578,17.115148,20251006192233,
22,1316,48.123429,17.114837,20251006192332,
23,1401,48.12337,17.114563,20251006192507,
24,1444,48.12343,17.11444,20251006192556,
25,1493,48.123377,17.114015,20251006192653,
26,1529,48.123529,17.114075,20251006192739,
27,1589,48.123527,17.113966,20251006192847,
28,1627,48.123548,17.113922,20251006192934,
29,1649,48.12345,17.113838,20251006193002,
30,1662,48.123457,17.113839,20251006193020,
31,1706,48.123234,17.113876,20251006193111,
32,1740,48.12297,17.113642,20251006193150,
33,1786,48.122751,17.113377,20251006193242,
