# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	06.10.2025 19:16:56 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	345
312.5	326
315.2	479
317.9	307
320.6	460
323.3	422
325.9	364
328.6	460
331.3	383
333.9	287
336.6	460
339.2	307
341.9	460
344.6	460
347.2	249
349.9	460
352.5	326
355.2	230
357.8	460
360.4	230
363.1	422
365.7	307
368.3	230
371.0	460
373.6	326
376.2	268
378.8	422
381.4	307
384.0	422
386.7	403
389.3	307
391.9	422
394.5	422
397.0	422
399.6	460
402.2	422
404.8	614
407.4	767
410.0	959
412.5	1439
415.1	1900
417.7	2610
420.2	3820
422.8	4607
425.3	6142
427.9	7697
430.4	9214
433.0	11133
435.5	12592
438.0	13590
440.6	13053
443.1	11479
445.6	9406
448.1	7102
450.6	5317
453.1	4299
455.7	3436
458.1	2841
460.6	2457
463.1	1804
465.6	1804
468.1	1631
470.6	1535
473.0	1535
475.5	1497
478.0	1420
480.4	1708
482.9	1804
485.3	1862
487.8	2245
490.2	2533
492.6	3109
495.1	3666
497.5	4376
499.9	5336
502.3	6257
504.7	7448
507.1	8311
509.5	9290
511.9	10135
514.3	11517
516.7	12362
519.1	13590
521.4	14857
523.8	16124
526.2	16892
528.5	18044
530.9	18812
533.2	19695
535.6	20539
537.9	21423
540.2	22421
542.5	23515
544.9	24532
547.2	25223
549.5	26414
551.8	27181
554.1	28871
556.4	29869
558.7	31097
560.9	33132
563.2	34399
565.5	35551
567.7	37336
570.0	39102
572.2	40619
574.5	41847
576.7	43460
579.0	44919
581.2	46781
583.4	48220
585.6	49526
587.8	51253
590.0	51906
592.2	53691
594.4	54478
596.6	55745
598.8	56129
601.0	55515
603.1	55976
605.3	56475
607.4	55976
609.6	56129
611.7	54613
613.9	53058
616.0	52309
618.1	50793
620.3	49372
622.4	48029
624.5	47453
626.6	45994
628.7	44765
630.8	43345
632.8	41771
634.9	40926
637.0	39774
639.1	37547
641.1	36818
643.2	35781
645.2	34361
647.2	32403
649.3	31040
651.3	29715
653.3	28947
655.3	27796
657.3	26759
659.3	25876
661.3	24571
663.3	23726
665.3	22421
667.3	21307
669.3	20539
671.2	19369
673.2	18390
675.1	17698
677.1	16700
679.0	15740
680.9	14819
682.9	13821
684.8	13130
686.7	12746
688.6	11748
690.5	11133
692.4	10788
694.3	10289
696.2	9790
698.0	8791
699.9	8407
701.8	7985
703.6	7371
705.5	7064
707.3	6641
709.1	6411
711.0	6142
712.8	5643
714.6	5528
716.4	5259
718.2	4760
720.0	4760
721.8	4223
723.6	4146
725.4	3954
727.1	3455
728.9	3493
730.7	3359
732.4	3033
734.2	3052
735.9	2687
737.6	2764
739.4	2610
741.1	2322
742.8	2380
744.5	2207
746.2	1958
747.9	2149
749.6	1842
751.3	1689
753.0	1689
754.6	1420
756.3	1574
758.0	1382
759.6	1305
761.3	1401
762.9	1228
764.5	1132
766.2	1286
767.8	1055
769.4	1151
771.0	1074
772.6	921
774.2	998
775.8	883
777.4	883
779.0	921
780.5	729
782.1	883
783.7	691
785.2	671
786.8	806
788.3	537
789.8	691
791.4	767
792.9	537
794.4	691
795.9	575
797.4	537
798.9	729
800.4	614
801.9	652
803.4	499
804.9	403
806.4	614
807.8	479
809.3	518
810.7	633
812.2	422
813.6	537
815.1	518
816.5	403
817.9	479
819.4	383
820.8	307
822.2	614
823.6	403
825.0	460
826.4	537
827.8	364
829.1	614
830.5	383
831.9	307
833.3	499
834.6	287
836.0	460
837.3	499
838.7	383
840.0	479
841.4	383
842.7	307
844.0	499
845.3	211
846.7	326
848.0	403
849.3	268
850.6	422
851.9	287
853.2	230
854.5	441
855.7	268
857.0	422
858.3	441
859.6	95
860.8	460
862.1	230
863.3	307
864.6	537
865.8	191
867.1	441
868.3	383
869.5	153
870.8	383
872.0	230
873.2	249
874.4	383
875.6	211
876.8	307
878.0	345
879.2	211
880.4	345
