# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	06.10.2025 19:23:32 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	575
312.5	422
315.2	691
317.9	422
320.6	499
323.3	556
325.9	479
328.6	652
331.3	575
333.9	537
336.6	633
339.2	403
341.9	556
344.6	479
347.2	268
349.9	556
352.5	383
355.2	345
357.8	460
360.4	268
363.1	460
365.7	326
368.3	287
371.0	460
373.6	383
376.2	326
378.8	460
381.4	383
384.0	422
386.7	383
389.3	307
391.9	441
394.5	499
397.0	441
399.6	537
402.2	614
404.8	844
407.4	1151
410.0	1478
412.5	2418
415.1	3416
417.7	4952
420.2	7179
422.8	9847
425.3	13053
427.9	16508
430.4	20348
433.0	24532
435.5	28026
438.0	29946
440.6	30560
443.1	28103
445.6	23956
448.1	18581
450.6	13303
453.1	10250
455.7	7985
458.1	6296
460.6	5336
463.1	4146
465.6	3608
468.1	3148
470.6	2783
473.0	2802
475.5	2687
478.0	2457
480.4	2687
482.9	2687
485.3	3071
487.8	3570
490.2	4165
492.6	5144
495.1	6104
497.5	7371
499.9	9079
502.3	10692
504.7	12707
507.1	14589
509.5	16815
511.9	19042
514.3	21423
516.7	23342
519.1	25761
521.4	28410
523.8	30714
526.2	32480
528.5	34092
530.9	36242
533.2	37778
535.6	37893
537.9	39851
540.2	40696
542.5	42634
544.9	43229
547.2	43921
549.5	45456
551.8	46147
554.1	48067
556.4	49603
558.7	51445
560.9	53595
563.2	54901
565.5	56744
567.7	59278
570.0	60928
572.2	61965
574.5	63424
576.7	64652
579.0	64979
581.2	65727
583.4	65881
585.6	65958
587.8	65977
590.0	65977
592.2	66188
594.4	66303
596.6	66303
598.8	66188
601.0	66111
603.1	66303
605.3	66303
607.4	66342
609.6	66188
611.7	66188
613.9	66035
616.0	66188
618.1	66188
620.3	66188
622.4	65977
624.5	66054
626.6	65881
628.7	65574
630.8	65286
632.8	63443
634.9	61965
637.0	60621
639.1	57550
641.1	54901
643.2	52674
645.2	50524
647.2	47875
649.3	45418
651.3	44189
653.3	41771
655.3	39851
657.3	37701
659.3	35935
661.3	34092
663.3	32556
665.3	30867
667.3	28794
669.3	27297
671.2	25684
673.2	23880
675.1	22958
677.1	21518
679.0	19983
680.9	19004
682.9	17583
684.8	16739
686.7	15664
688.6	14589
690.5	13667
692.4	13360
694.3	12746
696.2	12247
698.0	11133
699.9	10596
701.8	9982
703.6	9252
705.5	8907
707.3	8215
709.1	7985
711.0	7678
712.8	6949
714.6	6757
716.4	6315
718.2	5989
720.0	5797
721.8	5298
723.6	5106
725.4	4722
727.1	4261
728.9	4184
730.7	3992
732.4	3839
734.2	3647
735.9	3340
737.6	3359
739.4	3109
741.1	2841
742.8	2898
744.5	2649
746.2	2418
747.9	2572
749.6	2265
751.3	2149
753.0	2073
754.6	1689
756.3	1900
758.0	1804
759.6	1574
761.3	1708
762.9	1535
764.5	1458
766.2	1535
767.8	1324
769.4	1343
771.0	1247
772.6	1074
774.2	1209
775.8	1074
777.4	1190
779.0	1017
780.5	921
782.1	902
783.7	883
785.2	921
786.8	1036
788.3	806
789.8	806
791.4	921
792.9	710
794.4	940
795.9	806
797.4	787
798.9	921
800.4	921
801.9	844
803.4	844
804.9	729
806.4	921
807.8	921
809.3	863
810.7	1151
812.2	902
813.6	1074
815.1	1113
816.5	1074
817.9	1401
819.4	1266
820.8	1305
822.2	1574
823.6	1382
825.0	1650
826.4	1746
827.8	1766
829.1	1919
830.5	1804
831.9	1862
833.3	1996
834.6	1804
836.0	1938
837.3	1881
838.7	1727
840.0	1842
841.4	1650
842.7	1554
844.0	1689
845.3	1382
846.7	1420
848.0	1401
849.3	1228
850.6	1324
851.9	1074
853.2	1094
854.5	1266
855.7	921
857.0	1151
858.3	1094
859.6	844
860.8	1151
862.1	998
863.3	959
864.6	1190
865.8	940
867.1	1151
868.3	1132
869.5	902
870.8	1228
872.0	998
873.2	998
874.4	1151
875.6	921
876.8	998
878.0	1036
879.2	959
880.4	1094
