# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	06.10.2025 19:14:50 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	326
312.5	287
315.2	479
317.9	230
320.6	479
323.3	345
325.9	307
328.6	537
331.3	383
333.9	172
336.6	460
339.2	307
341.9	383
344.6	403
347.2	230
349.9	422
352.5	326
355.2	307
357.8	422
360.4	191
363.1	403
365.7	268
368.3	230
371.0	422
373.6	287
376.2	211
378.8	460
381.4	307
384.0	460
386.7	479
389.3	249
391.9	460
394.5	479
397.0	422
399.6	479
402.2	460
404.8	729
407.4	883
410.0	1151
412.5	1804
415.1	2457
417.7	3493
420.2	5087
422.8	6622
425.3	8983
427.9	11383
430.4	14358
433.0	17814
435.5	21039
438.0	23515
440.6	24801
443.1	23649
445.6	20578
448.1	15664
450.6	11536
453.1	8849
455.7	7025
458.1	5528
460.6	4664
463.1	3608
465.6	3148
468.1	2783
470.6	2418
473.0	2322
475.5	2226
478.0	2188
480.4	2322
482.9	2322
485.3	2572
487.8	2879
490.2	3263
492.6	4031
495.1	4760
497.5	5643
499.9	6929
502.3	8004
504.7	9751
507.1	11057
509.5	12247
511.9	14128
514.3	15779
516.7	17161
519.1	19292
521.4	20655
523.8	21979
526.2	23457
528.5	24801
530.9	26567
533.2	27661
535.6	28333
537.9	29946
540.2	30406
542.5	31443
544.9	31942
547.2	32672
549.5	34207
551.8	35493
554.1	36568
556.4	38008
558.7	38929
560.9	40849
563.2	42078
565.5	43153
567.7	44477
570.0	45936
572.2	46685
574.5	48029
576.7	49449
579.0	50678
581.2	52233
583.4	53864
585.6	55246
587.8	56667
590.0	57435
592.2	58990
594.4	59086
596.6	60775
598.8	60775
601.0	60045
603.1	60199
605.3	60621
607.4	59738
609.6	60045
611.7	59220
613.9	58510
616.0	57761
618.1	56532
620.3	56513
622.4	54978
624.5	54786
626.6	52847
628.7	50697
630.8	49142
632.8	47145
634.9	45303
637.0	44036
639.1	41329
641.1	38968
643.2	37471
645.2	35743
647.2	33036
649.3	31558
651.3	30829
653.3	28986
655.3	27181
657.3	25972
659.3	24955
661.3	23342
663.3	22421
665.3	21211
667.3	19829
669.3	19061
671.2	17756
673.2	16700
675.1	15913
677.1	14589
679.0	13629
680.9	12899
682.9	11940
684.8	11594
686.7	11057
688.6	10365
690.5	9674
692.4	9290
694.3	8907
696.2	8292
698.0	7486
699.9	7083
701.8	6699
703.6	6373
705.5	6161
707.3	5605
709.1	5374
711.0	5221
712.8	4760
714.6	4683
716.4	4453
718.2	4031
720.0	3916
721.8	3704
723.6	3455
725.4	3186
727.1	2821
728.9	2898
730.7	2783
732.4	2629
734.2	2610
735.9	2303
737.6	2322
739.4	2169
741.1	1996
742.8	2015
744.5	1842
746.2	1554
747.9	1766
749.6	1593
751.3	1458
753.0	1478
754.6	1209
756.3	1343
758.0	1247
759.6	1036
761.3	1247
762.9	1113
764.5	1036
766.2	1151
767.8	921
769.4	959
771.0	844
772.6	767
774.2	921
775.8	748
777.4	787
779.0	767
780.5	691
782.1	844
783.7	691
785.2	633
786.8	691
788.3	537
789.8	614
791.4	729
792.9	537
794.4	691
795.9	537
797.4	537
798.9	691
800.4	633
801.9	614
803.4	575
804.9	479
806.4	729
807.8	633
809.3	691
810.7	883
812.2	729
813.6	806
815.1	863
816.5	921
817.9	1151
819.4	1074
820.8	1036
822.2	1401
823.6	1343
825.0	1574
826.4	1650
827.8	1612
829.1	1842
830.5	1804
831.9	1708
833.3	1881
834.6	1574
836.0	1804
837.3	1842
838.7	1554
840.0	1689
841.4	1458
842.7	1343
844.0	1401
845.3	1094
846.7	1113
848.0	1132
849.3	883
850.6	959
851.9	691
853.2	767
854.5	806
855.7	710
857.0	825
858.3	767
859.6	441
860.8	844
862.1	729
863.3	691
864.6	998
865.8	691
867.1	883
868.3	921
869.5	767
870.8	1074
872.0	902
873.2	863
874.4	1074
875.6	940
876.8	998
878.0	979
879.2	940
880.4	1055
