# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	06.10.2025 19:17:44 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	767
312.5	614
315.2	787
317.9	518
320.6	729
323.3	633
325.9	556
328.6	729
331.3	614
333.9	499
336.6	652
339.2	575
341.9	614
344.6	595
347.2	383
349.9	518
352.5	441
355.2	422
357.8	575
360.4	230
363.1	479
365.7	383
368.3	326
371.0	499
373.6	345
376.2	268
378.8	499
381.4	326
384.0	441
386.7	422
389.3	268
391.9	383
394.5	441
397.0	345
399.6	441
402.2	326
404.8	422
407.4	518
410.0	518
412.5	729
415.1	940
417.7	1113
420.2	1612
422.8	1842
425.3	2303
427.9	2783
430.4	3397
433.0	4184
435.5	4472
438.0	4837
440.6	4933
443.1	4415
445.6	4012
448.1	3052
450.6	2226
453.1	2034
455.7	1650
458.1	1401
460.6	1305
463.1	1036
465.6	1074
468.1	940
470.6	825
473.0	959
475.5	902
478.0	883
480.4	979
482.9	1036
485.3	998
487.8	1190
490.2	1286
492.6	1554
495.1	1650
497.5	2053
499.9	2649
502.3	3033
504.7	3493
507.1	3992
509.5	4491
511.9	5125
514.3	5739
516.7	6142
519.1	7141
521.4	7601
523.8	8100
526.2	8849
528.5	9521
530.9	10193
533.2	10673
535.6	10481
537.9	11882
540.2	12400
542.5	13168
544.9	13648
547.2	14282
549.5	15241
551.8	15625
554.1	16739
556.4	17622
558.7	18313
560.9	19484
563.2	20156
565.5	21327
567.7	22766
570.0	23976
572.2	25569
574.5	26222
576.7	27872
579.0	29120
581.2	30522
583.4	31481
585.6	32806
587.8	34015
590.0	34706
592.2	36492
594.4	37317
596.6	38603
598.8	39889
601.0	40350
603.1	41329
605.3	41886
607.4	41617
609.6	41156
611.7	40734
613.9	40081
616.0	39160
618.1	38162
620.3	37490
622.4	36453
624.5	36204
626.6	35263
628.7	33958
630.8	33324
632.8	31904
634.9	31251
637.0	31078
639.1	29447
641.1	28122
643.2	27450
645.2	26529
647.2	25607
649.3	24532
651.3	23956
653.3	22958
655.3	22363
657.3	21461
659.3	20559
661.3	19772
663.3	19253
665.3	18082
667.3	16700
669.3	16470
671.2	15203
673.2	14339
675.1	13994
677.1	13360
679.0	12707
680.9	12285
682.9	11364
684.8	11018
686.7	10557
688.6	9943
690.5	9271
692.4	8907
694.3	8599
696.2	8465
698.0	7563
699.9	7448
701.8	7064
703.6	6718
705.5	6622
707.3	5950
709.1	5835
711.0	5682
712.8	5163
714.6	5125
716.4	4837
718.2	4472
720.0	4491
721.8	4146
723.6	3992
725.4	3743
727.1	3378
728.9	3532
730.7	3378
732.4	3109
734.2	3052
735.9	2687
737.6	2706
739.4	2687
741.1	2399
742.8	2514
744.5	2226
746.2	2073
747.9	2303
749.6	1977
751.3	1919
753.0	1881
754.6	1650
756.3	1823
758.0	1574
759.6	1478
761.3	1554
762.9	1286
764.5	1382
766.2	1458
767.8	1228
769.4	1324
771.0	1151
772.6	1055
774.2	1247
775.8	1094
777.4	1151
779.0	1074
780.5	940
782.1	1036
783.7	863
785.2	844
786.8	959
788.3	844
789.8	863
791.4	979
792.9	710
794.4	979
795.9	748
797.4	767
798.9	959
800.4	844
801.9	921
803.4	767
804.9	575
806.4	844
807.8	806
809.3	998
810.7	863
812.2	633
813.6	710
815.1	787
816.5	633
817.9	806
819.4	710
820.8	537
822.2	844
823.6	575
825.0	691
826.4	710
827.8	499
829.1	710
830.5	614
831.9	595
833.3	691
834.6	499
836.0	633
837.3	671
838.7	537
840.0	671
841.4	556
842.7	479
844.0	595
845.3	403
846.7	537
848.0	614
849.3	460
850.6	575
851.9	422
853.2	383
854.5	575
855.7	422
857.0	537
858.3	556
859.6	230
860.8	614
862.1	422
863.3	345
864.6	575
865.8	364
867.1	479
868.3	518
869.5	211
870.8	499
872.0	345
873.2	307
874.4	518
875.6	326
876.8	364
878.0	441
879.2	345
880.4	422
