# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	06.10.2025 19:30:02 wavelength [nm] [Tab] light intensity Exposure time = 100 ms
wavelength	intensity
309.9	230
312.5	191
315.2	422
317.9	172
320.6	326
323.3	326
325.9	191
328.6	441
331.3	307
333.9	230
336.6	422
339.2	230
341.9	403
344.6	307
347.2	230
349.9	383
352.5	230
355.2	191
357.8	422
360.4	211
363.1	364
365.7	249
368.3	115
371.0	441
373.6	268
376.2	230
378.8	460
381.4	230
384.0	403
386.7	307
389.3	211
391.9	326
394.5	307
397.0	230
399.6	307
402.2	307
404.8	383
407.4	383
410.0	287
412.5	383
415.1	383
417.7	345
420.2	537
422.8	441
425.3	575
427.9	729
430.4	844
433.0	1151
435.5	1247
438.0	1247
440.6	1478
443.1	1286
445.6	1266
448.1	1036
450.6	787
453.1	921
455.7	748
458.1	652
460.6	748
463.1	403
465.6	614
468.1	575
470.6	537
473.0	671
475.5	575
478.0	499
480.4	767
482.9	729
485.3	748
487.8	825
490.2	767
492.6	998
495.1	883
497.5	940
499.9	1190
502.3	959
504.7	1190
507.1	1382
509.5	1151
511.9	1343
514.3	1458
516.7	1305
519.1	1554
521.4	1535
523.8	1535
526.2	1670
528.5	1631
530.9	1766
533.2	1804
535.6	1766
537.9	1977
540.2	1862
542.5	1958
544.9	2073
547.2	2015
549.5	2322
551.8	2418
554.1	2457
556.4	2783
558.7	2802
560.9	3301
563.2	3493
565.5	3666
567.7	4472
570.0	4914
572.2	5509
574.5	6757
576.7	7697
579.0	9214
581.2	10769
583.4	12707
585.6	14358
587.8	15683
590.0	15069
592.2	13821
594.4	11517
596.6	9367
598.8	7390
601.0	5816
603.1	5067
605.3	4261
607.4	3839
609.6	3800
611.7	3320
613.9	3109
616.0	3033
618.1	2764
620.3	2764
622.4	2533
624.5	2572
626.6	2437
628.7	2226
630.8	2149
632.8	2073
634.9	1862
637.0	1958
639.1	1727
641.1	1554
643.2	1689
645.2	1535
647.2	1458
649.3	1401
651.3	1113
653.3	1190
655.3	1132
657.3	1113
659.3	1190
661.3	940
663.3	1055
665.3	1017
667.3	767
669.3	921
671.2	863
673.2	633
675.1	883
677.1	575
679.0	671
680.9	748
682.9	614
684.8	729
686.7	614
688.6	556
690.5	633
692.4	499
694.3	614
696.2	614
698.0	441
699.9	460
701.8	479
703.6	441
705.5	537
707.3	403
709.1	479
711.0	575
712.8	345
714.6	537
716.4	479
718.2	403
720.0	537
721.8	422
723.6	460
725.4	460
727.1	230
728.9	403
730.7	441
732.4	383
734.2	479
735.9	307
737.6	422
739.4	460
741.1	326
742.8	422
744.5	326
746.2	153
747.9	499
749.6	307
751.3	403
753.0	422
754.6	230
756.3	460
758.0	403
759.6	249
761.3	422
762.9	230
764.5	268
766.2	499
767.8	268
769.4	441
771.0	249
772.6	249
774.2	345
775.8	268
777.4	383
779.0	326
780.5	307
782.1	403
783.7	307
785.2	345
786.8	403
788.3	211
789.8	326
791.4	422
792.9	172
794.4	479
795.9	307
797.4	249
798.9	460
800.4	441
801.9	403
803.4	307
804.9	172
806.4	403
807.8	307
809.3	364
810.7	479
812.2	268
813.6	345
815.1	383
816.5	249
817.9	422
819.4	249
820.8	211
822.2	537
823.6	307
825.0	383
826.4	383
827.8	249
829.1	460
830.5	441
831.9	307
833.3	422
834.6	191
836.0	422
837.3	460
838.7	345
840.0	460
841.4	268
842.7	307
844.0	326
845.3	172
846.7	345
848.0	383
849.3	230
850.6	345
851.9	249
853.2	230
854.5	441
855.7	230
857.0	326
858.3	422
859.6	115
860.8	460
862.1	287
863.3	287
864.6	422
865.8	230
867.1	403
868.3	307
869.5	172
870.8	422
872.0	230
873.2	268
874.4	479
875.6	249
876.8	326
878.0	326
879.2	307
880.4	383
