# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:43:22 wavelength [nm] [Tab] light intensity Exposure time = 860 ms
wavelength	intensity
309.9	863
312.5	825
315.2	1074
317.9	1400
320.6	1017
323.3	997
325.9	978
328.6	1170
331.3	1132
333.9	748
336.6	1074
339.2	882
341.9	1036
344.6	940
347.2	786
349.9	978
352.5	863
355.2	748
357.8	1132
360.4	901
363.1	1132
365.7	863
368.3	825
371.0	1170
373.6	959
376.2	940
378.8	940
381.4	1017
384.0	1170
386.7	1055
389.3	1477
391.9	1362
394.5	1400
397.0	1592
399.6	2034
402.2	2034
404.8	2053
407.4	2091
410.0	2245
412.5	2494
415.1	2437
417.7	2475
420.2	2782
422.8	2859
425.3	3108
427.9	3185
430.4	4125
433.0	4490
435.5	4279
438.0	4394
440.6	4030
443.1	4663
445.6	5277
448.1	5814
450.6	5546
453.1	5181
455.7	4816
458.1	4663
460.6	7081
463.1	8866
465.6	9998
468.1	9556
470.6	7004
473.0	4701
475.5	3550
478.0	2398
480.4	2130
482.9	2245
485.3	2437
487.8	3128
490.2	5642
492.6	12070
495.1	16139
497.5	16446
499.9	13913
502.3	6851
504.7	3166
507.1	2782
509.5	3435
511.9	4241
514.3	4433
516.7	3665
519.1	2878
521.4	2130
523.8	2015
526.2	2149
528.5	2206
530.9	2513
533.2	2456
535.6	2360
537.9	2705
540.2	3089
542.5	4164
544.9	4951
547.2	5699
549.5	7042
551.8	8559
554.1	10228
556.4	12685
558.7	17943
560.9	29342
563.2	47247
565.5	60047
567.7	62734
570.0	59740
572.2	47151
574.5	37018
576.7	43313
579.0	55844
581.2	65440
583.4	66188
585.6	66188
587.8	66034
590.0	66034
592.2	66111
594.4	66150
596.6	66303
598.8	66188
601.0	65977
603.1	64442
605.3	59279
607.4	53292
609.6	50337
611.7	48686
613.9	45002
616.0	41163
618.1	36059
620.3	29726
622.4	25120
624.5	23201
626.6	21666
628.7	20130
630.8	18749
632.8	17866
634.9	17079
637.0	16446
639.1	15218
641.1	14527
643.2	14009
645.2	13375
647.2	12646
649.3	12205
651.3	11994
653.3	11648
655.3	11188
657.3	10708
659.3	10324
661.3	10094
663.3	9768
665.3	10171
667.3	10075
669.3	10382
671.2	10382
673.2	9384
675.1	8923
677.1	7848
679.0	6966
680.9	6275
682.9	6083
684.8	5239
686.7	4740
688.6	4337
690.5	4164
692.4	4010
694.3	3780
696.2	4010
698.0	3358
699.9	3435
701.8	3319
703.6	3243
705.5	3319
707.3	3204
709.1	3051
711.0	3627
712.8	2974
714.6	2974
716.4	3108
718.2	2705
720.0	2801
721.8	3358
723.6	2725
725.4	2801
727.1	2705
728.9	2475
730.7	2571
732.4	2782
734.2	2475
735.9	2322
737.6	2686
739.4	2609
741.1	2245
742.8	2341
744.5	2322
746.2	2072
747.9	2667
749.6	2245
751.3	2302
753.0	2475
754.6	2053
756.3	2552
758.0	2437
759.6	2245
761.3	2936
762.9	3262
764.5	3319
766.2	4624
767.8	3396
769.4	3511
771.0	2705
772.6	2398
774.2	2322
775.8	2034
777.4	1995
779.0	1976
780.5	1938
782.1	1823
783.7	1861
785.2	2015
786.8	2091
788.3	1861
789.8	2130
791.4	2206
792.9	1823
794.4	2245
795.9	2206
797.4	2437
798.9	2513
800.4	2513
801.9	2859
803.4	2859
804.9	3243
806.4	3358
807.8	4010
809.3	5814
810.7	9000
812.2	15141
813.6	22894
815.1	29918
816.5	34792
817.9	36327
819.4	34370
820.8	29726
822.2	23201
823.6	15985
825.0	9384
826.4	5373
827.8	4164
829.1	3818
830.5	3051
831.9	2360
833.3	2398
834.6	1861
836.0	2283
837.3	2015
838.7	2744
840.0	2091
841.4	1746
842.7	1861
844.0	1631
845.3	1400
846.7	1477
848.0	1592
849.3	1650
850.6	1727
851.9	1362
853.2	1669
854.5	1899
855.7	1324
857.0	1400
858.3	1439
859.6	1132
860.8	1727
862.1	1516
863.3	1400
864.6	1516
865.8	1707
867.1	1458
868.3	1362
869.5	1285
870.8	1669
872.0	1439
873.2	1247
874.4	1765
875.6	1823
876.8	1938
878.0	1266
879.2	1324
880.4	1343
